Species,Environment,SLpp,SLRMS,SLEFD,Fc,Fp,BW3dB,BWRMS,QRMS,Duration,ICI,DI,HPBW
Physeter macrocephalus,3,240,231,190,15,12,NA,4.1,3.3,120,1000,27,8
Kogia breviceps,3,NA,NA,NA,129,130,8,NA,16,119,"NA
",NA,NA
Platanista gangetica,1,183,173,127,61,59,44,20,3.1,22,35,22,14.5
Ziphius cavirostris,3,214,201,164,42,40,12,7.9,5.3,200,400,NA,NA
Hyperoodon ambullatus,3,203,186,169,43,54,NA,17,2.5,276,306,18.3,19.8
Indopacetus pacificus,3,NA,NA,NA,24,25,6.9,NA,NA,288,360,NA,NA
Mesoplodon bidens,3,NA,NA,NA,38,33,5.6,NA,6.2,386,96,NA,NA
Mesoplodon europaeus,3,NA,NA,NA,38,37,NA,NA,NA,200,270,NA,NA
Mesoplodon densirostris,3,211,200,165,33,32,12.4,6.9,5.0,301,333,26,10
Pontoporia  blainvillei,2,NA,NA,NA,NA,139,NA,19,7.3,212,33,NA,NA
Inia geoffrensis,1,190,181,132,101,96,50,29,3.5,14,35,25.9,9.4
Monodon monoceros,4,210,201,155,53,69,30,NA,NA,28,"NA
",31,5.0
Delphinapterus leucas,4,218,209,163,NA,41,13,NA,NA,NA,23,32.1,6.5
Neophocaena phocaenoides,2,178,167,130,129,129,21,13,9.9,44,41,NA,NA
Phocoena phocoena,2,186,175,133,137,138,15,10,15,62,NA,25.3,9.8
Phocoena dalli,3,183,172,132,137,137,11,8,17,104,NA,25.2,9.9
Orcinus orca,5,203,193,149,37,29,25,12,2.7,41,NA,NA,NA
Lagenorhynchus albirostris,3,204,195,148,94,120,NA,NA,NA,20,NA,29,8
Lagenorhynchus obscurus,2,191,182,134,81,74,67,34,2.4,16,NA,NA,NA
Cephalorhynchus hectori,2,177,166,121,128,129,20,18,8,57,NA,NA,NA
Cephalorhynchus commersonii,2,177,166,125,133,132,21,12,12,78,NA,25,10.4
Cephalorhynchus eutropia,2,NA,NA,NA,126,126,18,12,10.5,NA,NA,NA,NA
Cephalorhynchus heavisidii,2,173,161,120,125,125,15,15,9,74,58,NA,NA
Lagenorhynchus australis,2,185,173,133,129,126,15,12,12,92,NA,25,10.4
Lagenorhynchus cruciger,4,197,186,146,128,126,8,11,13,115,NA,NA,NA
Orcaella brevirostris,1,195,185,136,95,101,64,30,3.2,13,45,NA,NA
Grampus griseus,3,220,207,164,75,49,27,25,3.0,40,NA,26.6,8.7
Pseudorca crassidens,3,220,208,163,49,40,35,20,2.5,30,NA,25.2,10.2
Feresa attenuata,3,210,197,"147.5
","77.5
",70,NA,32,NA,30,"NA
",NA,NA
Globicephala macrorhynchus,3,181,170,127,40,39,16,12,3.6,57,209,22.6,NA
Globicephala melas,3,196,185,140,55,50,46,20,2.8,23,"NA
",NA,NA
Sousa chinensis,2,188,177,132,95,109,50,29,3.3,19,31,29.5,NA
Sousa sahulensis,2,199,189,141,106,114,59,29,3.7,15,NA,NA,NA
Stenella attenuata,3,212,194,150,83,69,80,39,2.2,43,NA,NA,NA
Stenella longirostris,3,208,193,148,80,70,76,34,2.4,31,NA,NA,NA
Stenella frontalis,5,209,200,151,86,78,91,33,2.6,13,NA,25.1,10.3
Tursiops aduncus,2,205,195,146,99,124,62,35,2.7,16,67,29,8
Tursiops truncatus,5,200,193,146,77,NA,NA,32,2.4,22,91,26,9
Sotalia fluviatilis,1,201.8,NA,94.2,99.2,93.1,21.5,35.3,2.8,93.1,NA,NA,NA
Neophocaena a. asiaeorientalis,1,176,165,134,129,129,22,12,NA,48,68,NA,NA
Orcaella heinsohni,2,200,190,141,98,104,69,31,3.2,12,52.2,NA,NA
Mesoplodon mirus,3,NA,NA,NA,NA,43.5,NA,NA,NA,271,0.19,NA,NA
Kogia sima,3,186,174,135,123,123,4,3,56,142,209,27,NA
Globicephala macrorhynchus,3,181,170,127,40,39,16,12,3.6,57,209,22.6,NA
Sousa plumbea,2,NA,NA,NA,87,91,79,24,NA,16,NA,NA,NA
