Gene,Model,lnL,LRT,np,df,p-value
PCDH15,Amodel-H1c,-8633.805827,0.0,63,1,1.0
PCDH15,Amodel-null-H1c,-8633.805827,N/A,62,N/A,N/A
MYO7A,Amodel-H1c,-7284.041979,-0.00020599999879777897,63,1,1.0
MYO7A,Amodel-null-H1c,-7284.041876,N/A,62,N/A,N/A
MYL1,Amodel-H1c,-1622.261358,3.1729239999999663,61,1,0.07486829853964394
MYL1,Amodel-null-H1c,-1623.84782,N/A,60,N/A,N/A
CALML6,Amodel-H1c,-1779.114259,0.0,39,1,1.0
CALML6,Amodel-null-H1c,-1779.114259,N/A,38,N/A,N/A
CASQ1,Amodel-H1c,-2438.062636,2.6349759999993694,63,1,0.10453364082545595
CASQ1,Amodel-null-H1c,-2439.380124,N/A,62,N/A,N/A
NRXN1,Amodel-H1c,-8138.340663,58.81219600000077,37,1,1.734627334620809e-14
NRXN1,Amodel-null-H1c,-8167.746761,N/A,36,N/A,N/A
NLGN3,Amodel-H1c,-4064.895664,0.0,41,1,1.0
NLGN3,Amodel-null-H1c,-4064.895664,N/A,40,N/A,N/A
HTT,Amodel-H1c,-18183.81022,3.3911779999980354,63,1,0.06554610442061017
HTT,Amodel-null-H1c,-18185.505809,N/A,62,N/A,N/A
OTOF,Amodel-H1c,-10532.508958,9.65251200000057,63,1,0.0018909282618391559
OTOF,Amodel-null-H1c,-10537.335214,N/A,62,N/A,N/A
FOXP2,Amodel-H1c,-2278.763304,0.0006419999999707215,63,1,0.979785588234514
FOXP2,Amodel-null-H1c,-2278.763625,N/A,62,N/A,N/A
RYR2,Amodel-H1c,-27181.845661,0.00537600000097882,63,1,0.9415505130893163
RYR2,Amodel-null-H1c,-27181.848349,N/A,62,N/A,N/A
CASQ2,Amodel-H1c,-2372.164662,0.0,63,1,1.0
CASQ2,Amodel-null-H1c,-2372.164662,N/A,62,N/A,N/A
HSP90AA1,Amodel-H1c,-4737.374512,0.0,63,1,1.0
HSP90AA1,Amodel-null-H1c,-4737.374512,N/A,62,N/A,N/A
CNTNAP2,Amodel-H1c,-8745.927569,-0.00021399999968707561,63,1,1.0
CNTNAP2,Amodel-null-H1c,-8745.927462,N/A,62,N/A,N/A
ACTC1,Amodel-H1c,-1912.398378,1.1999999969702912e-05,41,1,0.9972360523356149
ACTC1,Amodel-null-H1c,-1912.398384,N/A,40,N/A,N/A
MYH2,Amodel-H1c,-5049.850051,0.0,57,1,1.0
MYH2,Amodel-null-H1c,-5049.850051,N/A,56,N/A,N/A
