"Gene","Model","lnL","LRT","np","df","p.value","Gene_Category"
"NRXN1","2model-H1a",-8284.43182,5.16813600000023,35,1,0.0230048877286467,"learning"
"OTOF","2model-H1a",-10631.527505,8.81197999999858,61,1,0.00299259111360136,"hearing"
"CASQ2","2model-H1b",-2379.831386,5.26384800000051,61,1,0.0217728283778603,"sound_making"
"RYR2","2model-H1b",-27235.422101,5.15700600000127,61,1,0.02315277643265,"sound_making"
"MYL1","2model-H1b",-1636.028161,7.70857800000022,59,1,0.00549590281671862,"sound_making"
"CASQ1","2model-H1b",-2451.478598,9.69576199999938,61,1,0.00184693477489635,"sound_making"
"NRXN1","2model-H1c",-8281.182588,11.6666000000005,35,1,0.000636321943022235,"learning"
"NRXN1","2model-H2",-8281.421462,11.1888519999993,35,1,0.000822902424966709,"learning"
"MYL1","2model-H2",-1636.518951,6.72699800000009,59,1,0.00949642931798296,"sound_making"
"ACTC1","2model-H2",-1910.994108,10.7327219999997,39,1,0.00105257498711814,"sound_making"
"RYR2","2model-H2",-27233.122926,9.75535600000148,61,1,0.00178801014109058,"sound_making"
"MYL1","2model-H3",-1636.349489,7.06592200000023,59,1,0.00785638722262135,"sound_making"
"RYR2","2model-H3",-27234.47081,7.05958800000371,61,1,0.00788421275844035,"sound_making"
"OTOF","2model-H3",-10633.340511,5.18596799999796,61,1,0.0227699847873111,"hearing"
"CASQ2","2model-H3",-2380.078434,4.76975200000015,61,1,0.0289639976788861,"sound_making"
"CALML6","Amodel-H1a",-1772.779944,12.6540400000004,39,1,0.000374754977139881,"processing"
"PCDH15","Amodel-H1a",-8613.73517,40.1418279999998,63,1,2.36177415027427e-10,"hearing"
"CASQ1","Amodel-H1a",-2410.256854,57.9309439999997,63,1,2.71482761777155e-14,"sound_making"
"CALML6","Amodel-H1b",-1773.407818,12.6701620000003,39,1,0.000371537339136435,"processing"
"NRXN1","Amodel-H1c",-8138.340663,58.8121960000008,37,1,1.73462733462081e-14,"learning"
"OTOF","Amodel-H1c",-10532.508958,9.65251200000057,63,1,0.00189092826183916,"hearing"
"ACTC1","Amodel-H2",-1899.750183,15.4692099999997,41,1,8.38602415288407e-05,"sound_making"
"PCDH15","Amodel-H2",-8621.528982,24.5536920000013,63,1,7.22677418336813e-07,"hearing"
"CALML6","Amodel-H2",-1775.892382,7.70103400000016,39,1,0.00551892008945908,"processing"
"CASQ1","Amodel-H2",-2426.522465,25.7153179999996,63,1,3.95673976954357e-07,"sound_making"
