Gene,Model,lnL,LRT,np,df,p-value
HSP90AA1,2model-H1d,-5612.253499,1.832354000000123,139,1,0.1758497556146091
HSP90AA1,M0,-5613.169676,N/A,138,N/A,N/A
FOXP2,2model-H1d,-2445.502374,0.8898199999994176,173,1,0.34552609085106356
FOXP2,M0,-2445.947284,N/A,172,N/A,N/A
MYH2,2model-H1d,-4481.866725,23.418574000001172,153,1,1.3031420566546042e-06
MYH2,M0,-4493.576012,N/A,152,N/A,N/A
HTT,2model-H1d,-23597.227052,8.350440000001981,169,1,0.0038559394317400106
HTT,M0,-23601.402272,N/A,168,N/A,N/A
RYR2,2model-H1d,-34533.667952,4.479715999987093,175,1,0.03429942015250369
RYR2,M0,-34535.90781,N/A,174,N/A,N/A
CNTNAP2,2model-H1d,-11070.563147,1.7520059999988007,169,1,0.1856247488474654
CNTNAP2,M0,-11071.43915,N/A,168,N/A,N/A
CASQ2,2model-H1d,-3097.84754,0.30557799999951385,169,1,0.5804064636568639
CASQ2,M0,-3098.000329,N/A,168,N/A,N/A
OTOF,2model-H1d,-12055.640103,7.150787999999011,157,1,0.007493105747998035
OTOF,M0,-12059.215497,N/A,156,N/A,N/A
MYO7A,2model-H1d,-8083.163575,1.331664000001183,131,1,0.2485094060983767
MYO7A,M0,-8083.829407,N/A,130,N/A,N/A
PCDH15,2model-H1d,-10278.201259,1.588028000001941,171,1,0.2076081039910344
PCDH15,M0,-10278.995273,N/A,170,N/A,N/A
CASQ1,2model-H1d,-2785.77687,0.004767999999785388,171,1,0.9449492582276398
CASQ1,M0,-2785.779254,N/A,170,N/A,N/A
MYL1,2model-H1d,-1939.758587,3.03231199999982,163,1,0.08162163430905658
MYL1,M0,-1941.274743,N/A,162,N/A,N/A
