Gene,Model,lnL,LRT,np,df,p-value
RYR2,Amodel-H2,-27181.844631,-0.0012260000003152527,63,1,1.0
RYR2,Amodel-null-H2,-27181.844018,N/A,62,N/A,N/A
ACTC1,Amodel-H2,-1899.750183,15.469209999999748,41,1,8.386024152884067e-05
ACTC1,Amodel-null-H2,-1907.484788,N/A,40,N/A,N/A
MYH2,Amodel-H2,-5052.912489,-2.0000006770715117e-06,57,1,1.0
MYH2,Amodel-null-H2,-5052.912488,N/A,56,N/A,N/A
CASQ2,Amodel-H2,-2369.913275,0.5048759999999675,63,1,0.47736544940768044
CASQ2,Amodel-null-H2,-2370.165713,N/A,62,N/A,N/A
PCDH15,Amodel-H2,-8621.528982,24.55369200000132,63,1,7.226774183368127e-07
PCDH15,Amodel-null-H2,-8633.805828,N/A,62,N/A,N/A
OTOF,Amodel-H2,-10537.335203,4.7999998059822246e-05,63,1,0.9944721379431087
OTOF,Amodel-null-H2,-10537.335227,N/A,62,N/A,N/A
HTT,Amodel-H2,-18185.506668,-0.0024420000045211054,63,1,1.0
HTT,Amodel-null-H2,-18185.505447,N/A,62,N/A,N/A
HSP90AA1,Amodel-H2,-4738.579982,1.2000000424450263e-05,63,1,0.9972360522832443
HSP90AA1,Amodel-null-H2,-4738.579988,N/A,62,N/A,N/A
FOXP2,Amodel-H2,-2278.917469,4.000000444648322e-06,63,1,0.9984042318535454
FOXP2,Amodel-null-H2,-2278.917471,N/A,62,N/A,N/A
CALML6,Amodel-H2,-1775.892382,7.701034000000163,39,1,0.005518920089459076
CALML6,Amodel-null-H2,-1779.742899,N/A,38,N/A,N/A
NLGN3,Amodel-H2,-4064.715656,0.0,41,1,1.0
NLGN3,Amodel-null-H2,-4064.715656,N/A,40,N/A,N/A
CNTNAP2,Amodel-H2,-8745.927709,-0.0004919999992125668,63,1,1.0
CNTNAP2,Amodel-null-H2,-8745.927463,N/A,62,N/A,N/A
NRXN1,Amodel-H2,-8167.746765,0.0,37,1,1.0
NRXN1,Amodel-null-H2,-8167.746765,N/A,36,N/A,N/A
CASQ1,Amodel-H2,-2426.522465,25.71531799999957,63,1,3.956739769543571e-07
CASQ1,Amodel-null-H2,-2439.380124,N/A,62,N/A,N/A
MYL1,Amodel-H2,-1623.933745,0.0,61,1,1.0
MYL1,Amodel-null-H2,-1623.933745,N/A,60,N/A,N/A
MYO7A,Amodel-H2,-7284.042011,0.00010600000132399146,63,1,0.9917854207399587
MYO7A,Amodel-null-H2,-7284.042064,N/A,62,N/A,N/A
