Gene,Model,lnL,LRT,np,df,p-value
HTT,2model-H1a,-18253.673904,0.010174000002734829,61,1,0.9196566365497021
HTT,M0,-18253.678991,N/A,60,N/A,N/A
CASQ2,2model-H1a,-2388.347235,0.8083999999998923,61,1,0.36859371436044464
CASQ2,M0,-2388.751435,N/A,60,N/A,N/A
PCDH15,2model-H1a,-8737.589403,2.600000152597204e-05,61,1,0.9959315885652728
PCDH15,M0,-8737.589416,N/A,60,N/A,N/A
FOXP2,2model-H1a,-2285.350269,0.9473440000001574,61,1,0.33039628191876036
FOXP2,M0,-2285.823941,N/A,60,N/A,N/A
RYR2,2model-H1a,-27280.942737,3.986295999995491,61,1,0.0458717991908865
RYR2,M0,-27282.935885,N/A,60,N/A,N/A
MYH2,2model-H1a,-5193.553975,0.8757399999994959,55,1,0.34937111983539526
MYH2,M0,-5193.991845,N/A,54,N/A,N/A
CASQ1,2model-H1a,-2477.690254,0.48703800000021147,61,1,0.4852515683407096
CASQ1,M0,-2477.933773,N/A,60,N/A,N/A
CNTNAP2,2model-H1a,-8811.922786,0.06203600000299048,61,1,0.8033064250526404
CNTNAP2,M0,-8811.953804,N/A,60,N/A,N/A
OTOF,2model-H1a,-10639.449742,6.422771999998076,61,1,0.011266616517690745
OTOF,M0,-10642.661128,N/A,60,N/A,N/A
MYO7A,2model-H1a,-7336.274144,1.550757999999405,61,1,0.2130235744334567
MYO7A,M0,-7337.049523,N/A,60,N/A,N/A
