Gene,Model,lnL,LRT,np,df,p-value
CALML6,Bmodel-H1b,-1773.274878,12.916850000000068,40,2,0.0015672622054930035
CALML6,Bmodel-null-H1b,-1779.733303,N/A,38,N/A,N/A
MYO7A,Bmodel-H1b,-7282.182354,2.3018380000012257,64,2,0.316345913856383
MYO7A,Bmodel-null-H1b,-7283.333273,N/A,62,N/A,N/A
MYL1,Bmodel-H1b,-1618.19986,7.414314000000104,62,2,0.02454721188573858
MYL1,Bmodel-null-H1b,-1621.907017,N/A,60,N/A,N/A
CNTNAP2,Bmodel-H1b,-8745.183847,1.1237059999984922,64,2,0.5701515935027871
CNTNAP2,Bmodel-null-H1b,-8745.7457,N/A,62,N/A,N/A
PCDH15,Bmodel-H1b,-8616.941087,3.892470000002504,64,2,0.14281074311605954
PCDH15,Bmodel-null-H1b,-8618.887322,N/A,62,N/A,N/A
HTT,Bmodel-H1b,-18184.771363,1.4448239999983343,64,2,0.4855796242813115
HTT,Bmodel-null-H1b,-18185.493775,N/A,62,N/A,N/A
NRXN1,Bmodel-H1b,-8054.85486,0.0,38,2,1.0
NRXN1,Bmodel-null-H1b,-8054.85486,N/A,36,N/A,N/A
CASQ1,Bmodel-H1b,-2429.628719,10.998666000000412,64,2,0.004089498224294661
CASQ1,Bmodel-null-H1b,-2435.128052,N/A,62,N/A,N/A
NLGN3,Bmodel-H1b,-4063.680022,2.4312840000002325,42,2,0.2965195875983439
NLGN3,Bmodel-null-H1b,-4064.895664,N/A,40,N/A,N/A
FOXP2,Bmodel-H1b,-2278.01302,1.8089060000002064,64,2,0.4047632300464514
FOXP2,Bmodel-null-H1b,-2278.917473,N/A,62,N/A,N/A
OTOF,Bmodel-H1b,-10513.224055,35.366619999997056,64,2,2.0904320016132493e-08
OTOF,Bmodel-null-H1b,-10530.907365,N/A,62,N/A,N/A
HSP90AA1,Bmodel-H1b,-4732.005592,0.0,64,2,1.0
HSP90AA1,Bmodel-null-H1b,-4732.005592,N/A,62,N/A,N/A
RYR2,Bmodel-H1b,-27172.160934,19.29229199999827,64,2,6.467434225167748e-05
RYR2,Bmodel-null-H1b,-27181.80708,N/A,62,N/A,N/A
CASQ2,Bmodel-H1b,-2366.797759,9.176738000000114,64,2,0.010169431196839824
CASQ2,Bmodel-null-H1b,-2371.386128,N/A,62,N/A,N/A
MYH2,Bmodel-H1b,-5027.395393,1.82731799999965,58,2,0.40105407916822416
MYH2,Bmodel-null-H1b,-5028.309052,N/A,56,N/A,N/A
ACTC1,Bmodel-H1b,-1911.919978,0.44034400000009555,42,2,0.802380776599368
ACTC1,Bmodel-null-H1b,-1912.14015,N/A,40,N/A,N/A
