PG-BSM Model Fit Output - 05-Aug-2022

Branch Length Estimates

Daughter    Nul    BW    CW    rCW    nulRaMoSS    altRaMoSS    Parent
1	0.35	0.32	0.3	0.35	0.27	0.28	9
2	0.23	0.24	0.23	0.23	0.19	0.19	9
3	0.73	0.47	0.42	0.73	0.58	0.6	10
4	0.34	0.39	0.38	0.34	0.27	0.27	10
5	0.22	0.22	0.15	0.22	0.18	0.17	12
6	0.35	0.37	0.28	0.35	0.34	0.34	12
7	0.18	0.2	0.2	0.18	0.14	0.16	13
8	0.68	0.67	0.64	0.68	0.56	0.56	13
9	0.44	0.47	0.45	0.44	0.35	0.35	11
10	0.6	0.56	0.54	0.6	0.46	0.5	11
11	0.59	0.59	0.59	0.59	0.47	0.51	15
12	1.36	0.89	0.81	1.36	1.07	1.17	14
13	0.25	0.35	0.35	0.25	0.2	0.15	14
14	0.59	0.59	0.59	0.59	0.47	0.51	15

Log Likelihoods

Nul: -4200
BW: -4187
CW: -4186
rCW: -4200
nulRaMoSS: -4204
altRaMoSS: -4198

Nul PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda
0.57	0.19	4.86	0.91	0.12	2.92	0.56	

BW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     piBW
0.55	0.14	2.68	0.86	0.15	2.98	0.51	0.07	

CW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     piCW
0.54	0.11	1.51	0.82	0.13	2.86	0.51	0.11	

rCW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     pirCW
0.57	0.19	4.83	0.91	0.12	2.92	0.52	0	

nulRaMoSS MLEs

piCL    w1M3    w2M3    p1M3    w1CL    w2CL    p1CL    delta    kappa
0	0.01	0.26	0.22	0	0	0	0	2.71	

altRaMoSS MLEs

piCL    w1M3    w2M3    p1M3    w1CL    w2CL    p1CL    delta    kappa
0.2	0	0.19	0.73	1.01	0.01	0.53	0.67	2.75	

BW PG-BSM Posteriors

site     P(w=0)        P(w1<->w2)       P(BW)
15	0.000		0.005		0.995		
20	0.000		0.029		0.971		
4	0.000		0.03		0.97		
10	0.000		0.037		0.963		
12	0.000		0.039		0.961		
19	0.000		0.049		0.951		
7	0.000		0.081		0.919		
27	0.000		0.132		0.868		
3	0.000		0.175		0.825		
1	0.000		0.231		0.769		
8	0.000		0.253		0.747		
17	0.000		0.269		0.731		
14	0.000		0.357		0.643		
2	0.000		0.375		0.625		
192	0.000		0.463		0.537		
28	0.000		0.546		0.454		
233	0.000		0.618		0.382		
167	0.000		0.632		0.368		
113	0.000		0.673		0.327		
30	0.000		0.674		0.326		
199	0.000		0.74		0.26		
220	0.000		0.749		0.251		
281	0.000		0.783		0.217		
95	0.000		0.796		0.204		
5	0.000		0.801		0.199		
190	0.000		0.802		0.198		
29	0.000		0.825		0.175		
61	0.000		0.838		0.162		
49	0.000		0.839		0.161		
6	0.000		0.844		0.156		
183	0.000		0.848		0.152		
64	0.000		0.86		0.14		
9	0.000		0.861		0.139		
299	0.000		0.868		0.132		
154	0.000		0.874		0.126		
175	0.000		0.876		0.124		
48	0.000		0.883		0.117		
24	0.000		0.887		0.113		
13	0.000		0.893		0.107		
287	0.000		0.894		0.106		
102	0.000		0.911		0.089		
22	0.000		0.913		0.087		
23	0.000		0.914		0.086		
253	0.000		0.916		0.084		
250	0.000		0.917		0.083		
166	0.000		0.923		0.077		
16	0.000		0.927		0.073		
168	0.000		0.93		0.07		
11	0.000		0.932		0.068		
126	0.000		0.934		0.066		
193	0.000		0.944		0.056		
71	0.000		0.948		0.052		
230	0.000		0.949		0.051		
180	0.000		0.953		0.047		
85	0.000		0.957		0.043		
124	0.000		0.964		0.036		
255	0.000		0.965		0.035		
100	0.000		0.966		0.034		
236	0.000		0.968		0.032		
207	0.000		0.97		0.03		
37	0.000		0.976		0.024		
69	0.000		0.976		0.024		
204	0.000		0.977		0.023		
247	0.000		0.978		0.022		
200	0.000		0.978		0.022		
262	0.000		0.979		0.021		
72	0.000		0.982		0.018		
51	0.000		0.982		0.018		
119	0.000		0.982		0.018		
194	0.000		0.983		0.017		
223	0.000		0.984		0.016		
235	0.000		0.986		0.014		
232	0.000		0.986		0.014		
127	0.000		0.986		0.014		
54	0.000		0.986		0.014		
121	0.000		0.986		0.014		
275	0.000		0.987		0.013		
38	0.000		0.987		0.013		
106	0.000		0.988		0.012		
155	0.000		0.988		0.012		
182	0.000		0.989		0.011		
32	0.000		0.99		0.01		
76	0.000		0.99		0.01		
300	0.000		0.99		0.01		
293	0.000		0.991		0.009		
43	0.000		0.991		0.009		
252	0.000		0.991		0.009		
298	0.000		0.991		0.009		
44	0.000		0.991		0.009		
33	0.881		0.11		0.009		
254	0.000		0.992		0.008		
40	0.000		0.992		0.008		
238	0.000		0.992		0.008		
31	0.883		0.109		0.008		
269	0.000		0.992		0.008		
258	0.000		0.992		0.008		
62	0.000		0.993		0.007		
