Gene,Model,lnL,LRT,np,df,p-value
PCDH15,Amodel-H1c,-10169.577465,-0.0009920000011334196,173,1,1.0
PCDH15,Amodel-null-H1c,-10169.576969,N/A,172,N/A,N/A
MYO7A,Amodel-H1c,-8021.586776,26.50493800000004,133,1,2.6286532130393924e-07
MYO7A,Amodel-null-H1c,-8034.839245,N/A,132,N/A,N/A
MYL1,Amodel-H1c,-1910.261661,0.0,165,1,1.0
MYL1,Amodel-null-H1c,-1910.261661,N/A,164,N/A,N/A
CASQ1,Amodel-H1c,-2761.953097,0.006440000000111468,173,1,0.9360387338137169
CASQ1,Amodel-null-H1c,-2761.956317,N/A,172,N/A,N/A
HTT,Amodel-H1c,-23425.890835,1.6730420000021695,171,1,0.1958515785889935
HTT,Amodel-null-H1c,-23426.727356,N/A,170,N/A,N/A
OTOF,Amodel-H1c,-11948.508401,4.225538000002416,159,1,0.03981999342285841
OTOF,Amodel-null-H1c,-11950.62117,N/A,158,N/A,N/A
FOXP2,Amodel-H1c,-2443.864744,2.2000000171829015e-05,175,1,0.9962576033890016
FOXP2,Amodel-null-H1c,-2443.864755,N/A,174,N/A,N/A
RYR2,Amodel-H1c,-34386.75667,1.1293539999896893,177,1,0.28791317379143755
RYR2,Amodel-null-H1c,-34387.321347,N/A,176,N/A,N/A
CASQ2,Amodel-H1c,-3076.45505,-7.999999979801942e-05,171,1,1.0
CASQ2,Amodel-null-H1c,-3076.45501,N/A,170,N/A,N/A
HSP90AA1,Amodel-H1c,-5567.121726,5.216080000000147,141,1,0.022378942827138204
HSP90AA1,Amodel-null-H1c,-5569.729766,N/A,140,N/A,N/A
CNTNAP2,Amodel-H1c,-11007.771843,1.799999881768599e-05,171,1,0.9966148727652724
CNTNAP2,Amodel-null-H1c,-11007.771852,N/A,170,N/A,N/A
MYH2,Amodel-H1c,-4392.383389,0.8377460000010615,155,1,0.3600422126201337
MYH2,Amodel-null-H1c,-4392.802262,N/A,154,N/A,N/A
