Entry	Entry Name	Gene Names	Protein names	Organism	Length	Reviewed	Annotation	Function [CC]	GeneID	RefSeq	KEGG	EMBL	Ensembl	EnsemblMetazoa	OrthoDB	PIR	InterPro	CCDS
A0A2Y9EJS0	A0A2Y9EJS0_PHYMC	GATA3	trans-acting T-cell-specific transcription factor GATA-3 isoform X1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	444	unreviewed	5.0		102975032;	XP_007104165.1;XP_007104166.1;	pcad:102975032;		ENSPCTT00005006122;ENSPCTT00005006135;				IPR029521;IPR016374;IPR039355;IPR000679;IPR013088;	
A0A2Y9EK82	A0A2Y9EK82_PHYMC	NIPBL	Nipped-B protein	Physeter macrocephalus (Sperm whale) (Physeter catodon)	2802	unreviewed	5.0		102976192;	XP_007103281.1;	pcad:102976192;		ENSPCTT00005022920;ENSPCTT00005023033;ENSPCTT00005023178;				IPR011989;IPR016024;IPR026003;IPR024986;IPR033031;	
A0A2Y9EKQ1	A0A2Y9EKQ1_PHYMC	EDN1	endothelin-1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	202	unreviewed	5.0		102990236;	XP_007104054.1;	pcad:102990236;		ENSPCTT00005008525;				IPR020475;IPR019764;IPR001928;	
A0A2Y9F1K9	A0A2Y9F1K9_PHYMC	FGF9	Fibroblast growth factor, FGF	Physeter macrocephalus (Sperm whale) (Physeter catodon)	208	unreviewed	5.0	FUNCTION: Plays an important role in the regulation of embryonic development, cell proliferation, cell differentiation and cell migration. May have a role in glial cell growth and differentiation during development, gliosis during repair and regeneration of brain tissue after damage, differentiation and survival of neuronal cells, and growth stimulation of glial tumors. {ECO:0000256|ARBA:ARBA00025319}.	102990012;	XP_007112668.1;	pcad:102990012;		ENSPCTT00005016735;				IPR028251;IPR002209;IPR008996;	
A0A2Y9F2M4	A0A2Y9F2M4_PHYMC	WNT3A	Protein Wnt	Physeter macrocephalus (Sperm whale) (Physeter catodon)	352	unreviewed	5.0	FUNCTION: Ligand for members of the frizzled family of seven transmembrane receptors. {ECO:0000256|RuleBase:RU003500}.	102986761;	XP_007113972.1;	pcad:102986761;		ENSPCTT00005002617;				IPR005817;IPR009141;IPR043158;IPR018161;	
A0A2Y9FHT1	A0A2Y9FHT1_PHYMC	SPRY2	Protein sprouty homolog 2	Physeter macrocephalus (Sperm whale) (Physeter catodon)	315	unreviewed	5.0		102989429;	XP_007123279.1;XP_007123280.1;XP_007123281.1;XP_007123282.1;	pcad:102989429;		ENSPCTT00005021942;				IPR007875;IPR030780;	
A0A2Y9FSN9	A0A2Y9FSN9_PHYMC	FGF10	Fibroblast growth factor, FGF	Physeter macrocephalus (Sperm whale) (Physeter catodon)	206	unreviewed	5.0		102976992;	XP_007129823.1;	pcad:102976992;		ENSPCTT00005031148;				IPR028252;IPR002209;IPR008996;	
A0A2Y9LAH3	A0A2Y9LAH3_DELLE	TBX3	T-box transcription factor TBX3 isoform X1	Delphinapterus leucas (Beluga whale)	745	unreviewed	5.0			XP_022406639.1;	dle:111162765;		ENSDLET00000031622;				IPR008967;IPR046360;IPR036960;IPR022582;IPR001699;IPR018186;	
A0A2Y9LBZ9	A0A2Y9LBZ9_DELLE	BCR	breakpoint cluster region protein isoform X1	Delphinapterus leucas (Beluga whale)	1275	unreviewed	5.0			XP_022407209.1;	dle:111163064;		ENSDLET00000025255;				IPR037769;IPR015123;IPR036481;IPR000008;IPR035892;IPR035899;IPR000219;IPR001331;IPR011993;IPR001849;IPR008936;IPR000198;	
A0A2Y9LEH4	A0A2Y9LEH4_DELLE	MAPK1	Mitogen-activated protein kinase, EC 2.7.11.24	Delphinapterus leucas (Beluga whale)	380	unreviewed	5.0			XP_022407111.1;XP_022407112.1;	dle:111163022;		ENSDLET00000023869;				IPR011009;IPR003527;IPR008349;IPR000719;IPR008271;	
