Gene,Model,lnL,LRT,np,df,p-value
MYO7A,Bmodel-H1d,-8035.562621,0.296437999999398,134,2,0.8622422632081523
MYO7A,Bmodel-null-H1d,-8035.71084,N/A,132,N/A,N/A
MYL1,Bmodel-H1d,-1903.924052,4.1504979999999705,166,2,0.12552516783474224
MYL1,Bmodel-null-H1d,-1905.999301,N/A,164,N/A,N/A
PCDH15,Bmodel-H1d,-10160.904585,3.4025479999982053,174,2,0.18245093343493818
PCDH15,Bmodel-null-H1d,-10162.605859,N/A,172,N/A,N/A
HTT,Bmodel-H1d,-23421.74974,8.616502000004402,172,2,0.01345706543106076
HTT,Bmodel-null-H1d,-23426.057991,N/A,170,N/A,N/A
CASQ1,Bmodel-H1d,-2758.278552,0.3629219999993438,174,2,0.8340507726495991
CASQ1,Bmodel-null-H1d,-2758.460013,N/A,172,N/A,N/A
CNTNAP2,Bmodel-H1d,-11008.208496,1.6730360000001383,172,2,0.4332163596109858
CNTNAP2,Bmodel-null-H1d,-11009.045014,N/A,170,N/A,N/A
RYR2,Bmodel-H1d,-34385.160833,4.7177799999917625,178,2,0.09452508783354605
RYR2,Bmodel-null-H1d,-34387.519723,N/A,176,N/A,N/A
FOXP2,Bmodel-H1d,-2444.343743,6.000000212225132e-06,176,2,0.9999970000043938
FOXP2,Bmodel-null-H1d,-2444.343746,N/A,174,N/A,N/A
MYH2,Bmodel-H1d,-4349.121815,89.94934399999875,156,2,2.9359464159325115e-20
MYH2,Bmodel-null-H1d,-4394.096487,N/A,154,N/A,N/A
HSP90AA1,Bmodel-H1d,-5576.963259,2.1201860000001034,142,2,0.3464235914378805
HSP90AA1,Bmodel-null-H1d,-5578.023352,N/A,140,N/A,N/A
OTOF,Bmodel-H1d,-11946.571539,7.47248799999943,160,2,0.023843491308582675
OTOF,Bmodel-null-H1d,-11950.307783,N/A,158,N/A,N/A
CASQ2,Bmodel-H1d,-3073.219182,0.25314800000069226,172,2,0.8811089450687396
CASQ2,Bmodel-null-H1d,-3073.345756,N/A,170,N/A,N/A
