Entry	Entry Name	Gene Names	Protein names	Organism	Length	Reviewed	Annotation	Function [CC]	GeneID	RefSeq	KEGG	EMBL	Ensembl	EnsemblMetazoa	OrthoDB	PIR	InterPro	CCDS
A0A2Y9EJS0	A0A2Y9EJS0_PHYMC	GATA3	trans-acting T-cell-specific transcription factor GATA-3 isoform X1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	444	unreviewed	5.0		102975032;	XP_007104165.1;XP_007104166.1;	pcad:102975032;		ENSPCTT00005006122;ENSPCTT00005006135;				IPR029521;IPR016374;IPR039355;IPR000679;IPR013088;	
A0A2Y9F1K9	A0A2Y9F1K9_PHYMC	FGF9	Fibroblast growth factor, FGF	Physeter macrocephalus (Sperm whale) (Physeter catodon)	208	unreviewed	5.0	FUNCTION: Plays an important role in the regulation of embryonic development, cell proliferation, cell differentiation and cell migration. May have a role in glial cell growth and differentiation during development, gliosis during repair and regeneration of brain tissue after damage, differentiation and survival of neuronal cells, and growth stimulation of glial tumors. {ECO:0000256|ARBA:ARBA00025319}.	102990012;	XP_007112668.1;	pcad:102990012;		ENSPCTT00005016735;				IPR028251;IPR002209;IPR008996;	
A0A2Y9F2M4	A0A2Y9F2M4_PHYMC	WNT3A	Protein Wnt	Physeter macrocephalus (Sperm whale) (Physeter catodon)	352	unreviewed	5.0	FUNCTION: Ligand for members of the frizzled family of seven transmembrane receptors. {ECO:0000256|RuleBase:RU003500}.	102986761;	XP_007113972.1;	pcad:102986761;		ENSPCTT00005002617;				IPR005817;IPR009141;IPR043158;IPR018161;	
A0A2Y9FHT1	A0A2Y9FHT1_PHYMC	SPRY2	Protein sprouty homolog 2	Physeter macrocephalus (Sperm whale) (Physeter catodon)	315	unreviewed	5.0		102989429;	XP_007123279.1;XP_007123280.1;XP_007123281.1;XP_007123282.1;	pcad:102989429;		ENSPCTT00005021942;				IPR007875;IPR030780;	
A0A2Y9FSN9	A0A2Y9FSN9_PHYMC	FGF10	Fibroblast growth factor, FGF	Physeter macrocephalus (Sperm whale) (Physeter catodon)	206	unreviewed	5.0		102976992;	XP_007129823.1;	pcad:102976992;		ENSPCTT00005031148;				IPR028252;IPR002209;IPR008996;	
A0A2Y9LAH3	A0A2Y9LAH3_DELLE	TBX3	T-box transcription factor TBX3 isoform X1	Delphinapterus leucas (Beluga whale)	745	unreviewed	5.0			XP_022406639.1;	dle:111162765;		ENSDLET00000031622;				IPR008967;IPR046360;IPR036960;IPR022582;IPR001699;IPR018186;	
A0A2Y9LBZ9	A0A2Y9LBZ9_DELLE	BCR	breakpoint cluster region protein isoform X1	Delphinapterus leucas (Beluga whale)	1275	unreviewed	5.0			XP_022407209.1;	dle:111163064;		ENSDLET00000025255;				IPR037769;IPR015123;IPR036481;IPR000008;IPR035892;IPR035899;IPR000219;IPR001331;IPR011993;IPR001849;IPR008936;IPR000198;	
A0A2Y9LKN0	A0A2Y9LKN0_DELLE	EPHB2	Receptor protein-tyrosine kinase, EC 2.7.10.1	Delphinapterus leucas (Beluga whale)	986	unreviewed	5.0			XP_022407622.1;			ENSDLET00000016915;				IPR027936;IPR034238;IPR001090;IPR003961;IPR036116;IPR008979;IPR009030;IPR013783;IPR011009;IPR000719;IPR017441;IPR001660;IPR013761;IPR001245;IPR011641;IPR008266;IPR020635;IPR016257;IPR001426;	
A0A2Y9LMU1	A0A2Y9LMU1_DELLE	TBX2	T-box transcription factor TBX2	Delphinapterus leucas (Beluga whale)	713	unreviewed	5.0			XP_022408377.1;	dle:111163725;		ENSDLET00000011607;				IPR008967;IPR046360;IPR036960;IPR022582;IPR002070;IPR001699;IPR018186;	
A0A2Y9LQ50	A0A2Y9LQ50_DELLE	FGF10	Fibroblast growth factor, FGF	Delphinapterus leucas (Beluga whale)	207	unreviewed	5.0			XP_022407378.1;	dle:111163180;		ENSDLET00000015564;				IPR028252;IPR002209;IPR008996;	
