Gene,Model,lnL,LRT,np,df,p-value
HSP90AA1,2model-H2,-5612.738984,0.8613840000016353,139,1,0.3533516786767381
HSP90AA1,M0,-5613.169676,N/A,138,N/A,N/A
CASQ1,2model-H2,-2784.401474,2.7555600000005143,171,1,0.096916876334362
CASQ1,M0,-2785.779254,N/A,170,N/A,N/A
MYL1,2model-H2,-1939.22315,4.103185999999823,163,1,0.04280248444266843
MYL1,M0,-1941.274743,N/A,162,N/A,N/A
MYO7A,2model-H2,-8082.65997,2.338874000000942,131,1,0.1261807320451742
MYO7A,M0,-8083.829407,N/A,130,N/A,N/A
HTT,2model-H2,-23601.37556,0.05342399999790359,169,1,0.817208897031121
HTT,M0,-23601.402272,N/A,168,N/A,N/A
MYH2,2model-H2,-4492.23385,2.684324000001652,153,1,0.10134022339412521
MYH2,M0,-4493.576012,N/A,152,N/A,N/A
PCDH15,2model-H2,-10278.881999,0.2265480000023672,171,1,0.6340953323987202
PCDH15,M0,-10278.995273,N/A,170,N/A,N/A
RYR2,2model-H2,-34533.779947,4.255725999988499,175,1,0.03911822418009636
RYR2,M0,-34535.90781,N/A,174,N/A,N/A
CASQ2,2model-H2,-3097.249595,1.5014679999994769,169,1,0.22044562424439484
CASQ2,M0,-3098.000329,N/A,168,N/A,N/A
CNTNAP2,2model-H2,-11071.43888,0.0005400000009103678,169,1,0.9814605068566585
CNTNAP2,M0,-11071.43915,N/A,168,N/A,N/A
FOXP2,2model-H2,-2445.898225,0.0981179999998858,173,1,0.7540999043324802
FOXP2,M0,-2445.947284,N/A,172,N/A,N/A
OTOF,2model-H2,-12059.206766,0.017461999999795808,157,1,0.8948705040182914
OTOF,M0,-12059.215497,N/A,156,N/A,N/A
