Gene,Model,lnL,LRT,np,df,p-value
NLGN3,2model-H2,-4064.66983,0.451668000000609,39,1,0.5015439102952561
NLGN3,M0,-4064.895664,N/A,38,N/A,N/A
HSP90AA1,2model-H2,-4752.45688,0.1538200000013603,61,1,0.6949112353163185
HSP90AA1,M0,-4752.53379,N/A,60,N/A,N/A
NRXN1,2model-H2,-8281.421462,11.188851999999315,35,1,0.0008229024249667093
NRXN1,M0,-8287.015888,N/A,34,N/A,N/A
CASQ1,2model-H2,-2455.35976,1.9334380000000237,61,1,0.16438280071532296
CASQ1,M0,-2456.326479,N/A,60,N/A,N/A
MYL1,2model-H2,-1636.518951,6.726998000000094,59,1,0.009496429317982955
MYL1,M0,-1639.88245,N/A,58,N/A,N/A
MYO7A,2model-H2,-7309.308389,3.030115999999907,61,1,0.08173217301829823
MYO7A,M0,-7310.823447,N/A,60,N/A,N/A
HTT,2model-H2,-18248.054555,0.1994780000022729,61,1,0.655142519670153
HTT,M0,-18248.154294,N/A,60,N/A,N/A
ACTC1,2model-H2,-1910.994108,10.73272199999974,39,1,0.0010525749871181374
ACTC1,M0,-1916.360469,N/A,38,N/A,N/A
MYH2,2model-H2,-5187.418401,2.5818859999999404,55,1,0.1080928021187744
MYH2,M0,-5188.709344,N/A,54,N/A,N/A
CALML6,2model-H2,-1787.213762,1.886283999999705,37,1,0.16962164565637075
CALML6,M0,-1788.156904,N/A,36,N/A,N/A
PCDH15,2model-H2,-8709.76079,0.6421960000006948,61,1,0.4229167107304914
PCDH15,M0,-8710.081888,N/A,60,N/A,N/A
RYR2,2model-H2,-27233.122926,9.755356000001484,61,1,0.001788010141090582
RYR2,M0,-27238.000604,N/A,60,N/A,N/A
CASQ2,2model-H2,-2381.352944,2.220731999999771,61,1,0.13616848492002817
CASQ2,M0,-2382.46331,N/A,60,N/A,N/A
CNTNAP2,2model-H2,-8786.216277,2.1149380000024394,61,1,0.1458679611419552
CNTNAP2,M0,-8787.273746,N/A,60,N/A,N/A
FOXP2,2model-H2,-2278.899482,0.03597800000079587,61,1,0.8495609318012601
FOXP2,M0,-2278.917471,N/A,60,N/A,N/A
OTOF,2model-H2,-10635.799642,0.267705999998725,61,1,0.6048747744659659
OTOF,M0,-10635.933495,N/A,60,N/A,N/A
