Gene,Model,lnL,LRT,np,df,p-value
RYR2,Amodel-H2,-34386.098248,5.29495599999791,177,1,0.021387271265414783
RYR2,Amodel-null-H2,-34388.745726,N/A,176,N/A,N/A
MYH2,Amodel-H2,-4396.079871,0.5510439999998198,155,1,0.4578914298315446
MYH2,Amodel-null-H2,-4396.355393,N/A,154,N/A,N/A
CASQ2,Amodel-H2,-3075.679264,0.047567999999955646,171,1,0.827350500795485
CASQ2,Amodel-null-H2,-3075.703048,N/A,170,N/A,N/A
PCDH15,Amodel-H2,-10169.576656,0.0007660000010218937,173,1,0.977920003282496
PCDH15,Amodel-null-H2,-10169.577039,N/A,172,N/A,N/A
OTOF,Amodel-H2,-11950.345097,0.871075999999448,159,1,0.35065759852968703
OTOF,Amodel-null-H2,-11950.780635,N/A,158,N/A,N/A
HTT,Amodel-H2,-23416.925122,21.027251999999862,171,1,4.527968664180406e-06
HTT,Amodel-null-H2,-23427.438748,N/A,170,N/A,N/A
HSP90AA1,Amodel-H2,-5578.904843,-3.000000106112566e-05,141,1,1.0
HSP90AA1,Amodel-null-H2,-5578.904828,N/A,140,N/A,N/A
FOXP2,Amodel-H2,-2444.376696,0.0,175,1,1.0
FOXP2,Amodel-null-H2,-2444.376696,N/A,174,N/A,N/A
CNTNAP2,Amodel-H2,-11008.834546,0.01552599999922677,171,1,0.9008375597349905
CNTNAP2,Amodel-null-H2,-11008.842309,N/A,170,N/A,N/A
CASQ1,Amodel-H2,-2761.956317,0.0,173,1,1.0
CASQ1,Amodel-null-H2,-2761.956317,N/A,172,N/A,N/A
MYL1,Amodel-H2,-1910.359799,0.0,165,1,1.0
MYL1,Amodel-null-H2,-1910.359799,N/A,164,N/A,N/A
MYO7A,Amodel-H2,-8031.663302,4.734796000000642,133,1,0.029558353419024682
MYO7A,Amodel-null-H2,-8034.0307,N/A,132,N/A,N/A
