Gene,Model,lnL,LRT,np,df,p-value
OTOF,2model-H1c,-12059.07067,0.28965400000015507,157,1,0.5904423405360891
OTOF,M0,-12059.215497,N/A,156,N/A,N/A
CASQ2,2model-H1c,-3097.990588,0.01948199999969802,169,1,0.8889934750846503
CASQ2,M0,-3098.000329,N/A,168,N/A,N/A
HTT,2model-H1c,-23601.214066,0.3764119999977993,169,1,0.5395297562140244
HTT,M0,-23601.402272,N/A,168,N/A,N/A
RYR2,2model-H1c,-34535.714943,0.385733999995864,175,1,0.5345503597943656
RYR2,M0,-34535.90781,N/A,174,N/A,N/A
MYH2,2model-H1c,-4492.837352,1.4773200000017823,153,1,0.22419430436669108
MYH2,M0,-4493.576012,N/A,152,N/A,N/A
HSP90AA1,2model-H1c,-5606.686594,12.9661640000013,139,1,0.0003171712053915039
HSP90AA1,M0,-5613.169676,N/A,138,N/A,N/A
PCDH15,2model-H1c,-10275.862191,6.266164000000572,171,1,0.01230652919871792
PCDH15,M0,-10278.995273,N/A,170,N/A,N/A
FOXP2,2model-H1c,-2445.719457,0.4556539999994129,173,1,0.4996621173364453
FOXP2,M0,-2445.947284,N/A,172,N/A,N/A
MYL1,2model-H1c,-1941.272655,0.004175999999915803,163,1,0.9484749856198534
MYL1,M0,-1941.274743,N/A,162,N/A,N/A
CNTNAP2,2model-H1c,-11071.077909,0.7224820000010368,169,1,0.3953309730469665
CNTNAP2,M0,-11071.43915,N/A,168,N/A,N/A
CASQ1,2model-H1c,-2785.52519,0.5081280000003972,171,1,0.47595035535770125
CASQ1,M0,-2785.779254,N/A,170,N/A,N/A
MYO7A,2model-H1c,-8083.445354,0.7681059999995341,131,1,0.380803614844472
MYO7A,M0,-8083.829407,N/A,130,N/A,N/A
