Entry	Entry Name	Gene Names	Protein names	Organism	Length	Reviewed	Annotation	Function [CC]	GeneID	RefSeq	KEGG	EMBL	Ensembl	EnsemblMetazoa	OrthoDB	PIR	InterPro	CCDS
A0A2U3VAH2	A0A2U3VAH2_TURTR	GPX1	Glutathione peroxidase	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	206	unreviewed	5.0		101336363;	XP_004332228.2;			ENSTTRT00000017368;				IPR000889;IPR029759;IPR029760;IPR036249;	
A0A2Y9EK82	A0A2Y9EK82_PHYMC	NIPBL	Nipped-B protein	Physeter macrocephalus (Sperm whale) (Physeter catodon)	2802	unreviewed	5.0		102976192;	XP_007103281.1;	pcad:102976192;		ENSPCTT00005022920;ENSPCTT00005023033;ENSPCTT00005023178;				IPR011989;IPR016024;IPR026003;IPR024986;IPR033031;	
A0A2Y9FEW7	A0A2Y9FEW7_PHYMC	KIT	Mast/stem cell growth factor receptor, EC 2.7.10.1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	972	unreviewed	5.0		102985479;	XP_007121193.1;			ENSPCTT00005008594;				IPR007110;IPR036179;IPR013783;IPR003599;IPR013151;IPR011009;IPR000719;IPR017441;IPR027263;IPR001245;IPR008266;IPR020635;IPR001824;	
A0A2Y9FHT1	A0A2Y9FHT1_PHYMC	SPRY2	Protein sprouty homolog 2	Physeter macrocephalus (Sperm whale) (Physeter catodon)	315	unreviewed	5.0		102989429;	XP_007123279.1;XP_007123280.1;XP_007123281.1;XP_007123282.1;	pcad:102989429;		ENSPCTT00005021942;				IPR007875;IPR030780;	
A0A2Y9MPB1	A0A2Y9MPB1_DELLE	SOD1	Superoxide dismutase [Cu-Zn], EC 1.15.1.1	Delphinapterus leucas (Beluga whale)	153	unreviewed	5.0	FUNCTION: Destroys radicals which are normally produced within the cells and which are toxic to biological systems. {ECO:0000256|RuleBase:RU000393}.		XP_022424139.1;	dle:111172168;		ENSDLET00000032495;				IPR036423;IPR024134;IPR018152;IPR001424;	
A0A2Y9MZZ4	A0A2Y9MZZ4_DELLE	SIX1	homeobox protein SIX1	Delphinapterus leucas (Beluga whale)	284	unreviewed	5.0			XP_022426471.1;	dle:111173270;		ENSDLET00000009278;				IPR009057;IPR017970;IPR001356;IPR031278;IPR031701;	
A0A2Y9N2Y2	A0A2Y9N2Y2_DELLE	DDIT3	DNA damage-inducible transcript 3 protein, DDIT-3 (C/EBP zeta) (C/EBP-homologous protein) (C/EBP-homologous protein 10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA-damage-inducible protein GADD153)	Delphinapterus leucas (Beluga whale)	168	unreviewed	5.0	FUNCTION: Multifunctional transcription factor in ER stress response. Plays an essential role in the response to a wide variety of cell stresses and induces cell cycle arrest and apoptosis in response to ER stress. Plays a dual role both as an inhibitor of CCAAT/enhancer-binding protein (C/EBP) function and as an activator of other genes. Acts as a dominant-negative regulator of C/EBP-induced transcription: dimerizes with members of the C/EBP family, impairs their association with C/EBP binding sites in the promoter regions, and inhibits the expression of C/EBP regulated genes. Positively regulates the transcription of TRIB3, IL6, IL8, IL23, TNFRSF10B/DR5, PPP1R15A/GADD34, BBC3/PUMA, BCL2L11/BIM and ERO1L. Negatively regulates; expression of BCL2 and MYOD1, ATF4-dependent transcriptional activation of asparagine synthetase (ASNS), CEBPA-dependent transcriptional activation of hepcidin (HAMP) and CEBPB-mediated expression of peroxisome proliferator-activated receptor gamma (PPARG). Inhibits the canonical Wnt signaling pathway by binding to TCF7L2/TCF4, impairing its DNA-binding properties and repressing its transcriptional activity. Plays a regulatory role in the inflammatory response through the induction of caspase-11 (CASP4/CASP11) which induces the activation of caspase-1 (CASP1) and both these caspases increase the activation of pro-IL1B to mature IL1B which is involved in the inflammatory response. {ECO:0000256|PIRNR:PIRNR016571}.		XP_022427459.1;XP_022427460.1;	dle:111173840;		ENSDLET00000003943;				IPR004827;IPR016670;	
A0A2Y9NMR6	A0A2Y9NMR6_DELLE	SPRY2	Protein sprouty homolog 2	Delphinapterus leucas (Beluga whale)	315	unreviewed	5.0			XP_022432662.1;	dle:111176469;		ENSDLET00000008449;				IPR007875;IPR030780;	
A0A2Y9NV03	A0A2Y9NV03_DELLE	CDKN1B	Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1)	Delphinapterus leucas (Beluga whale)	198	unreviewed	5.0			XP_022433338.1;	dle:111176781;		ENSDLET00000001203;				IPR003175;IPR044898;IPR029843;	
A0A2Y9PXY0	A0A2Y9PXY0_DELLE	AXIN1	Axin-1 (Axis inhibition protein 1)	Delphinapterus leucas (Beluga whale)	866	unreviewed	5.0			XP_022450020.1;XP_022450021.1;	dle:111185093;		ENSDLET00000009410;				IPR043581;IPR029797;IPR014936;IPR032101;IPR001158;IPR038207;IPR016137;IPR036305;IPR024066;IPR044926;IPR029071;	
