Gene,Model,lnL,LRT,np,df,p-value
CNTNAP2,Bmodel-H1c,-8745.457703,0.5760000000009313,64,2,0.7497615922386922
CNTNAP2,Bmodel-null-H1c,-8745.745703,N/A,62,N/A,N/A
CASQ1,Bmodel-H1c,-2434.696089,0.8639259999999922,64,2,0.6492333978764766
CASQ1,Bmodel-null-H1c,-2435.128052,N/A,62,N/A,N/A
NRXN1,Bmodel-H1c,-8054.854859,0.0,38,2,1.0
NRXN1,Bmodel-null-H1c,-8054.854859,N/A,36,N/A,N/A
MYL1,Bmodel-H1c,-1620.227838,3.358357999999953,62,2,0.18652705190278637
MYL1,Bmodel-null-H1c,-1621.907017,N/A,60,N/A,N/A
NLGN3,Bmodel-H1c,-4064.891782,0.0077639999999519205,42,2,0.9961255252212384
NLGN3,Bmodel-null-H1c,-4064.895664,N/A,40,N/A,N/A
MYO7A,Bmodel-H1c,-7279.90096,6.8646239999998215,64,2,0.032312148658842625
MYO7A,Bmodel-null-H1c,-7283.333272,N/A,62,N/A,N/A
HTT,Bmodel-H1c,-18185.469742,0.04671999999845866,64,2,0.9769107325988821
HTT,Bmodel-null-H1c,-18185.493102,N/A,62,N/A,N/A
CASQ2,Bmodel-H1c,-2370.206521,2.3592140000000654,64,2,0.30739952287794714
CASQ2,Bmodel-null-H1c,-2371.386128,N/A,62,N/A,N/A
CALML6,Bmodel-H1c,-1778.787637,1.8913320000001477,40,2,0.38842079648894834
CALML6,Bmodel-null-H1c,-1779.733303,N/A,38,N/A,N/A
PCDH15,Bmodel-H1c,-8617.430212,2.9142100000026403,64,2,0.2329095728736137
PCDH15,Bmodel-null-H1c,-8618.887317,N/A,62,N/A,N/A
ACTC1,Bmodel-H1c,-1911.320334,1.6396319999998923,42,2,0.4405127013865363
ACTC1,Bmodel-null-H1c,-1912.14015,N/A,40,N/A,N/A
HSP90AA1,Bmodel-H1c,-4730.370738,3.2697100000004866,64,2,0.1949806414425093
HSP90AA1,Bmodel-null-H1c,-4732.005593,N/A,62,N/A,N/A
OTOF,Bmodel-H1c,-10526.558331,8.698057999998127,64,2,0.012919351182013492
OTOF,Bmodel-null-H1c,-10530.90736,N/A,62,N/A,N/A
FOXP2,Bmodel-H1c,-2278.757375,0.32106999999996333,64,2,0.8516880139698128
FOXP2,Bmodel-null-H1c,-2278.91791,N/A,62,N/A,N/A
MYH2,Bmodel-H1c,-5024.573702,7.470736000001125,58,2,0.023864387358082197
MYH2,Bmodel-null-H1c,-5028.30907,N/A,56,N/A,N/A
RYR2,Bmodel-H1c,-27180.198562,3.217160000000149,64,2,0.200171656109232
RYR2,Bmodel-null-H1c,-27181.807142,N/A,62,N/A,N/A
