Gene,Model,lnL,LRT,np,df,p-value
OTOF,2model-H1c,-10635.613625,0.6397399999987101,61,1,0.4238049626067635
OTOF,M0,-10635.933495,N/A,60,N/A,N/A
ACTC1,2model-H1c,-1915.723944,1.2730499999997846,39,1,0.25919528087533955
ACTC1,M0,-1916.360469,N/A,38,N/A,N/A
CASQ2,2model-H1c,-2382.432597,0.06142600000021048,61,1,0.8042561217151465
CASQ2,M0,-2382.46331,N/A,60,N/A,N/A
HTT,2model-H1c,-18248.149633,0.009321999998064712,61,1,0.9230833641305461
HTT,M0,-18248.154294,N/A,60,N/A,N/A
RYR2,2model-H1c,-27236.62497,2.751267999999982,61,1,0.09717733448020707
RYR2,M0,-27238.000604,N/A,60,N/A,N/A
CALML6,2model-H1c,-1788.099055,0.1156980000000658,37,1,0.7337480222786372
CALML6,M0,-1788.156904,N/A,36,N/A,N/A
MYH2,2model-H1c,-5187.389202,2.6402839999991556,55,1,0.10418491810420269
MYH2,M0,-5188.709344,N/A,54,N/A,N/A
HSP90AA1,2model-H1c,-4752.118546,0.8304880000014236,61,1,0.36213145667737456
HSP90AA1,M0,-4752.53379,N/A,60,N/A,N/A
PCDH15,2model-H1c,-8708.754925,2.6539260000026843,61,1,0.10329450238534583
PCDH15,M0,-8710.081888,N/A,60,N/A,N/A
FOXP2,2model-H1c,-2278.757376,0.3201900000003661,61,1,0.571493484290337
FOXP2,M0,-2278.917471,N/A,60,N/A,N/A
NLGN3,2model-H1c,-4064.891775,0.0077780000001439475,39,1,0.9297233044811558
NLGN3,M0,-4064.895664,N/A,38,N/A,N/A
MYL1,2model-H1c,-1639.828731,0.10743800000000192,59,1,0.7430800039638403
MYL1,M0,-1639.88245,N/A,58,N/A,N/A
CNTNAP2,2model-H1c,-8786.983919,0.5796540000010282,61,1,0.4464479738436129
CNTNAP2,M0,-8787.273746,N/A,60,N/A,N/A
CASQ1,2model-H1c,-2455.36186,1.9292379999997138,61,1,0.16484183563251217
CASQ1,M0,-2456.326479,N/A,60,N/A,N/A
NRXN1,2model-H1c,-8281.182588,11.666600000000471,35,1,0.0006363219430222352
NRXN1,M0,-8287.015888,N/A,34,N/A,N/A
MYO7A,2model-H1c,-7310.77737,0.09215399999993679,61,1,0.761456444947533
MYO7A,M0,-7310.823447,N/A,60,N/A,N/A
