Gene,Model,lnL,LRT,np,df,p-value
FOXP2,2model-H1b,-2445.542935,0.8086979999998221,173,1,0.3685054675583387
FOXP2,M0,-2445.947284,N/A,172,N/A,N/A
HTT,2model-H1b,-23601.377012,0.050519999997050036,169,1,0.8221608929560641
HTT,M0,-23601.402272,N/A,168,N/A,N/A
OTOF,2model-H1b,-12059.111109,0.2087759999994887,157,1,0.647728458686218
OTOF,M0,-12059.215497,N/A,156,N/A,N/A
MYH2,2model-H1b,-4491.66554,3.8209440000009636,153,1,0.0506157136340107
MYH2,M0,-4493.576012,N/A,152,N/A,N/A
HSP90AA1,2model-H1b,-5612.955855,0.4276420000005601,139,1,0.5131482569549685
HSP90AA1,M0,-5613.169676,N/A,138,N/A,N/A
CASQ2,2model-H1b,-3097.185135,1.6303879999995843,169,1,0.20164939110363228
CASQ2,M0,-3098.000329,N/A,168,N/A,N/A
RYR2,2model-H1b,-34534.986151,1.8433179999992717,175,1,0.17456255476604865
RYR2,M0,-34535.90781,N/A,174,N/A,N/A
CNTNAP2,2model-H1b,-11071.42311,0.03208000000086031,169,1,0.8578521895666414
CNTNAP2,M0,-11071.43915,N/A,168,N/A,N/A
MYL1,2model-H1b,-1941.264622,0.02024200000005294,163,1,0.8868632802350029
MYL1,M0,-1941.274743,N/A,162,N/A,N/A
MYO7A,2model-H1b,-8080.404904,6.849006000000372,131,1,0.008869060320755504
MYO7A,M0,-8083.829407,N/A,130,N/A,N/A
PCDH15,2model-H1b,-10278.524692,0.9411619999991672,171,1,0.3319791840617776
PCDH15,M0,-10278.995273,N/A,170,N/A,N/A
CASQ1,2model-H1b,-2785.725685,0.1071380000003046,171,1,0.7434263088077703
CASQ1,M0,-2785.779254,N/A,170,N/A,N/A
