Gene,Model,lnL,LRT,np,df,p-value
NRXN1,Amodel-H1b,-8167.746964,-0.0003999999989900971,37,1,1.0
NRXN1,Amodel-null-H1b,-8167.746764,N/A,36,N/A,N/A
CASQ1,Amodel-H1b,-2439.380124,0.0,63,1,1.0
CASQ1,Amodel-null-H1b,-2439.380124,N/A,62,N/A,N/A
NLGN3,Amodel-H1b,-4063.680429,6.000000212225132e-06,41,1,0.9980455918722322
NLGN3,Amodel-null-H1b,-4063.680432,N/A,40,N/A,N/A
MYL1,Amodel-H1b,-1623.933745,0.00014199999986885814,61,1,0.9904923331568259
MYL1,Amodel-null-H1b,-1623.933816,N/A,60,N/A,N/A
MYO7A,Amodel-H1b,-7284.041904,-1.3999999282532372e-05,63,1,1.0
MYO7A,Amodel-null-H1b,-7284.041897,N/A,62,N/A,N/A
HTT,Amodel-H1b,-18185.505694,0.0005700000037904829,63,1,0.9809525766595794
HTT,Amodel-null-H1b,-18185.505979,N/A,62,N/A,N/A
PCDH15,Amodel-H1b,-8633.805825,-5.999998393235728e-06,63,1,1.0
PCDH15,Amodel-null-H1b,-8633.805822,N/A,62,N/A,N/A
CASQ2,Amodel-H1b,-2368.151951,2.276170000000093,63,1,0.13137594766771757
CASQ2,Amodel-null-H1b,-2369.290036,N/A,62,N/A,N/A
CALML6,Amodel-H1b,-1773.407818,12.670162000000346,39,1,0.0003715373391364354
CALML6,Amodel-null-H1b,-1779.742899,N/A,38,N/A,N/A
OTOF,Amodel-H1b,-10537.33518,9.399999908055179e-05,63,1,0.9922643434020803
OTOF,Amodel-null-H1b,-10537.335227,N/A,62,N/A,N/A
ACTC1,Amodel-H1b,-1912.398378,0.0,41,1,1.0
ACTC1,Amodel-null-H1b,-1912.398378,N/A,40,N/A,N/A
FOXP2,Amodel-H1b,-2278.91747,2.0000006770715117e-06,63,1,0.9988716210180326
FOXP2,Amodel-null-H1b,-2278.917471,N/A,62,N/A,N/A
MYH2,Amodel-H1b,-5052.912488,-6.000000212225132e-06,57,1,1.0
MYH2,Amodel-null-H1b,-5052.912485,N/A,56,N/A,N/A
HSP90AA1,Amodel-H1b,-4738.579988,-1.4000001101521775e-05,63,1,1.0
HSP90AA1,Amodel-null-H1b,-4738.579981,N/A,62,N/A,N/A
CNTNAP2,Amodel-H1b,-8745.927406,0.0008319999978994019,63,1,0.9769886814091208
CNTNAP2,Amodel-null-H1b,-8745.927822,N/A,62,N/A,N/A
RYR2,Amodel-H1b,-27181.844824,0.0009500000014668331,63,1,0.9754114394345735
RYR2,Amodel-null-H1b,-27181.845299,N/A,62,N/A,N/A
