Gene,Model,lnL,LRT,np,df,p-value
FOXP2,Bmodel-H3,-2278.168709,1.4975240000003396,64,2,0.47295170466753444
FOXP2,Bmodel-null-H3,-2278.917471,N/A,62,N/A,N/A
MYL1,Bmodel-H3,-1617.309765,9.194504000000052,62,2,0.010079496177287556
MYL1,Bmodel-null-H3,-1621.907017,N/A,60,N/A,N/A
HTT,Bmodel-H3,-18184.915356,1.1573399999979301,64,2,0.5606435268152372
HTT,Bmodel-null-H3,-18185.494026,N/A,62,N/A,N/A
CNTNAP2,Bmodel-H3,-8745.568869,0.35364800000024843,64,2,0.8379272467412604
CNTNAP2,Bmodel-null-H3,-8745.745693,N/A,62,N/A,N/A
CASQ2,Bmodel-H3,-2367.649298,7.473660000000564,64,2,0.023829523115742556
CASQ2,Bmodel-null-H3,-2371.386128,N/A,62,N/A,N/A
ACTC1,Bmodel-H3,-1911.531978,1.2163439999999355,42,2,0.5443450228428925
ACTC1,Bmodel-null-H3,-1912.14015,N/A,40,N/A,N/A
HSP90AA1,Bmodel-H3,-4731.947395,0.11639599999944039,64,2,0.9434631232436755
HSP90AA1,Bmodel-null-H3,-4732.005593,N/A,62,N/A,N/A
PCDH15,Bmodel-H3,-8606.82943,24.115780000000086,64,2,5.798623477760613e-06
PCDH15,Bmodel-null-H3,-8618.88732,N/A,62,N/A,N/A
MYO7A,Bmodel-H3,-7268.407186,29.85217399999965,64,2,3.293690441801327e-07
MYO7A,Bmodel-null-H3,-7283.333273,N/A,62,N/A,N/A
CALML6,Bmodel-H3,-1775.37464,8.717325999999957,40,2,0.012795483780039996
CALML6,Bmodel-null-H3,-1779.733303,N/A,38,N/A,N/A
OTOF,Bmodel-H3,-10471.428431,118.95788600000014,64,2,1.4744269677180057e-26
OTOF,Bmodel-null-H3,-10530.907374,N/A,62,N/A,N/A
NRXN1,Bmodel-H3,-8054.85486,0.0,38,2,1.0
NRXN1,Bmodel-null-H3,-8054.85486,N/A,36,N/A,N/A
CASQ1,Bmodel-H3,-2426.016474,18.223156000000017,64,2,0.00011038039736351748
CASQ1,Bmodel-null-H3,-2435.128052,N/A,62,N/A,N/A
MYH2,Bmodel-H3,-5027.303419,2.011265999999523,58,2,0.3658130018698298
MYH2,Bmodel-null-H3,-5028.309052,N/A,56,N/A,N/A
NLGN3,Bmodel-H3,-4064.524651,0.7420259999998962,42,2,0.6900349710458931
NLGN3,Bmodel-null-H3,-4064.895664,N/A,40,N/A,N/A
RYR2,Bmodel-H3,-27174.698925,14.215898000002198,64,2,0.0008185721630838434
RYR2,Bmodel-null-H3,-27181.806874,N/A,62,N/A,N/A
