Gene,Model,lnL,LRT,np,df,p-value
MYO7A,Bmodel-H1b,-8023.434805,24.552068000000872,134,2,4.662149267276525e-06
MYO7A,Bmodel-null-H1b,-8035.710839,N/A,132,N/A,N/A
MYL1,Bmodel-H1b,-1905.999301,5.999999757477781e-06,166,2,0.9999970000046212
MYL1,Bmodel-null-H1b,-1905.999304,N/A,164,N/A,N/A
CNTNAP2,Bmodel-H1b,-11008.950906,0.18823200000042561,172,2,0.9101771755642989
CNTNAP2,Bmodel-null-H1b,-11009.045022,N/A,170,N/A,N/A
PCDH15,Bmodel-H1b,-10161.586313,2.038985999999568,174,2,0.36077780816094174
PCDH15,Bmodel-null-H1b,-10162.605806,N/A,172,N/A,N/A
HTT,Bmodel-H1b,-23426.057304,-0.0032480000008945353,172,2,1.0
HTT,Bmodel-null-H1b,-23426.05568,N/A,170,N/A,N/A
CASQ1,Bmodel-H1b,-2757.933383,1.0532579999999143,174,2,0.5905925051400507
CASQ1,Bmodel-null-H1b,-2758.460012,N/A,172,N/A,N/A
FOXP2,Bmodel-H1b,-2443.542964,1.6015639999995983,176,2,0.44897772621928955
FOXP2,Bmodel-null-H1b,-2444.343746,N/A,174,N/A,N/A
OTOF,Bmodel-H1b,-11946.163769,8.288042000000132,160,2,0.01585895427009399
OTOF,Bmodel-null-H1b,-11950.30779,N/A,158,N/A,N/A
HSP90AA1,Bmodel-H1b,-5574.643812,6.7586199999987,142,2,0.03407095558524942
HSP90AA1,Bmodel-null-H1b,-5578.023122,N/A,140,N/A,N/A
RYR2,Bmodel-H1b,-34386.518942,2.0207699999882607,178,2,0.36407878225624063
RYR2,Bmodel-null-H1b,-34387.529327,N/A,176,N/A,N/A
CASQ2,Bmodel-H1b,-3072.00449,2.6825300000000425,172,2,0.26151464322724505
CASQ2,Bmodel-null-H1b,-3073.345755,N/A,170,N/A,N/A
MYH2,Bmodel-H1b,-4393.442131,2.804235999999946,156,2,0.24607522428931689
MYH2,Bmodel-null-H1b,-4394.844249,N/A,154,N/A,N/A
