Gene,Model,lnL,LRT,np,df,p-value
FOXP2,2model-H1b,-2278.014502,1.805938000000424,61,1,0.1789962741783287
FOXP2,M0,-2278.917471,N/A,60,N/A,N/A
HTT,2model-H1b,-18247.988109,0.3323699999964447,61,1,0.5642668675019937
HTT,M0,-18248.154294,N/A,60,N/A,N/A
OTOF,2model-H1b,-10635.239787,1.3874159999977564,61,1,0.23884196046902362
OTOF,M0,-10635.933495,N/A,60,N/A,N/A
MYH2,2model-H1b,-5187.871288,1.6761119999991934,55,1,0.19544187832503185
MYH2,M0,-5188.709344,N/A,54,N/A,N/A
ACTC1,2model-H1b,-1916.189533,0.34187199999996665,39,1,0.558750656016478
ACTC1,M0,-1916.360469,N/A,38,N/A,N/A
HSP90AA1,2model-H1b,-4752.327384,0.41281200000048557,61,1,0.520545684868619
HSP90AA1,M0,-4752.53379,N/A,60,N/A,N/A
CASQ2,2model-H1b,-2379.831386,5.2638480000005075,61,1,0.021772828377860286
CASQ2,M0,-2382.46331,N/A,60,N/A,N/A
RYR2,2model-H1b,-27235.422101,5.1570060000012745,61,1,0.023152776432649992
RYR2,M0,-27238.000604,N/A,60,N/A,N/A
CNTNAP2,2model-H1b,-8786.51312,1.5212520000022778,61,1,0.21743012660612485
CNTNAP2,M0,-8787.273746,N/A,60,N/A,N/A
MYL1,2model-H1b,-1636.028161,7.708578000000216,59,1,0.005495902816718619
MYL1,M0,-1639.88245,N/A,58,N/A,N/A
MYO7A,2model-H1b,-7310.224842,1.1972100000002683,61,1,0.2738800232844992
MYO7A,M0,-7310.823447,N/A,60,N/A,N/A
NLGN3,2model-H1b,-4063.680024,2.4312800000006973,39,1,0.11893574618467949
NLGN3,M0,-4064.895664,N/A,38,N/A,N/A
CALML6,2model-H1b,-1787.745638,0.8225319999996827,37,1,0.3644409071597752
CALML6,M0,-1788.156904,N/A,36,N/A,N/A
NRXN1,2model-H1b,-8285.947046,2.1376840000011725,35,1,0.1437187195530023
NRXN1,M0,-8287.015888,N/A,34,N/A,N/A
PCDH15,2model-H1b,-8709.655208,0.8533600000009756,61,1,0.3556035446206849
PCDH15,M0,-8710.081888,N/A,60,N/A,N/A
CASQ1,2model-H1b,-2451.478598,9.695761999999377,61,1,0.0018469347748963521
CASQ1,M0,-2456.326479,N/A,60,N/A,N/A
