Entry	Entry Name	Gene Names	Protein names	Organism	Length	Reviewed	Annotation	Function [CC]	GeneID	RefSeq	KEGG	EMBL	Ensembl	EnsemblMetazoa	OrthoDB	PIR	InterPro	CCDS
A0A2Y9ES03	A0A2Y9ES03_PHYMC	SRF	serum response factor isoform X1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	535	unreviewed	5.0		102975241;	XP_007107625.1;	pcad:102975241;		ENSPCTT00005009008;				IPR033897;IPR002100;IPR036879;	
A0A2Y9ESP2	A0A2Y9ESP2_PHYMC	CLN3	Battenin	Physeter macrocephalus (Sperm whale) (Physeter catodon)	438	unreviewed	5.0		102982591;	XP_007107394.1;	pcad:102982591;		ENSPCTT00005030403;				IPR003492;IPR018460;IPR036259;	
A0A2Y9EVN9	A0A2Y9EVN9_PHYMC	HIF1A	Hypoxia-inducible factor 1-alpha	Physeter macrocephalus (Sperm whale) (Physeter catodon)	822	unreviewed	5.0			XP_007109955.2;	pcad:102978574;		ENSPCTT00005012126;				IPR011598;IPR001321;IPR014887;IPR021537;IPR036638;IPR001610;IPR000014;IPR035965;IPR013767;IPR013655;	
A0A2Y9EWX4	A0A2Y9EWX4_PHYMC	DRD2	D(2) dopamine receptor (Dopamine D2 receptor)	Physeter macrocephalus (Sperm whale) (Physeter catodon)	443	unreviewed	5.0		102984954;	XP_007109570.1;	pcad:102984954;		ENSPCTT00005032342;				IPR001922;IPR000929;IPR000276;IPR017452;	
A0A2Y9EY25	A0A2Y9EY25_PHYMC	APP	Amyloid-beta A4 protein	Physeter macrocephalus (Sperm whale) (Physeter catodon)	770	unreviewed	5.0	FUNCTION: Functions as a cell surface receptor and performs physiological functions on the surface of neurons relevant to neurite growth, neuronal adhesion and axonogenesis. {ECO:0000256|RuleBase:RU367156}.; FUNCTION: N-APP binds TNFRSF21 triggering caspase activation and degeneration of both neuronal cell bodies (via caspase-3) and axons (via caspase-6). {ECO:0000256|ARBA:ARBA00003551}.; FUNCTION: The gamma-CTF peptides as well as the caspase-cleaved peptides, including C31, are potent enhancers of neuronal apoptosis. {ECO:0000256|ARBA:ARBA00002651}.	102995649;	XP_007110994.1;	pcad:102995649;		ENSPCTT00005001713;				IPR036669;IPR008155;IPR013803;IPR037071;IPR011178;IPR024329;IPR008154;IPR015849;IPR036454;IPR019745;IPR028866;IPR019543;IPR019744;IPR036176;IPR002223;IPR036880;IPR011993;IPR020901;	
A0A2Y9FAY0	A0A2Y9FAY0_PHYMC	SLC1A1	Amino acid transporter	Physeter macrocephalus (Sperm whale) (Physeter catodon)	524	unreviewed	5.0		102996882;	XP_007118575.1;	pcad:102996882;		ENSPCTT00005008518;				IPR001991;IPR018107;IPR036458;	
A0A2Y9FM68	A0A2Y9FM68_PHYMC	CDK5	cyclin-dependent-like kinase 5	Physeter macrocephalus (Sperm whale) (Physeter catodon)	292	unreviewed	5.0		102986821;	XP_007126720.1;	pcad:102986821;		ENSPCTT00005019201;				IPR011009;IPR000719;IPR017441;IPR008271;	
A0A2Y9FUA0	A0A2Y9FUA0_PHYMC	LOC102981487	Sodium/potassium-transporting ATPase subunit alpha	Physeter macrocephalus (Sperm whale) (Physeter catodon)	1020	unreviewed	5.0		102981487;	XP_007129684.1;	pcad:102981487;		ENSPCTT00005003614;				IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR005775;IPR001757;IPR044492;	
A0A2Y9LFG3	A0A2Y9LFG3_DELLE	NOG	Noggin	Delphinapterus leucas (Beluga whale)	232	unreviewed	5.0	FUNCTION: Inhibitor of bone morphogenetic proteins (BMP) signaling which is required for growth and patterning of the neural tube and somite. {ECO:0000256|PIRNR:PIRNR008129}.		XP_022408310.1;	dle:111163683;		ENSDLET00000009813;				IPR029034;IPR008717;	
A0A2Y9LKN0	A0A2Y9LKN0_DELLE	EPHB2	Receptor protein-tyrosine kinase, EC 2.7.10.1	Delphinapterus leucas (Beluga whale)	986	unreviewed	5.0			XP_022407622.1;			ENSDLET00000016915;				IPR027936;IPR034238;IPR001090;IPR003961;IPR036116;IPR008979;IPR009030;IPR013783;IPR011009;IPR000719;IPR017441;IPR001660;IPR013761;IPR001245;IPR011641;IPR008266;IPR020635;IPR016257;IPR001426;	
