Entry	Entry Name	Gene Names	Protein names	Organism	Length	Reviewed	Annotation	Function [CC]	GeneID	RefSeq	KEGG	EMBL	Ensembl	EnsemblMetazoa	OrthoDB	PIR	InterPro	CCDS
A0A2Y9EG12	A0A2Y9EG12_PHYMC	APOE	apolipoprotein E	Physeter macrocephalus (Sperm whale) (Physeter catodon)	317	unreviewed	5.0		102995691;	XP_007101327.1;	pcad:102995691;		ENSPCTT00005028741;				IPR000074;	
A0A2Y9EGS6	A0A2Y9EGS6_PHYMC	ADCY8	Adenylate cyclase, EC 4.6.1.1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	1247	unreviewed	5.0	FUNCTION: Catalyzes the formation of the signaling molecule cAMP in response to G-protein signaling. {ECO:0000256|PIRNR:PIRNR039050}.		XP_007102035.2;	pcad:102975211;		ENSPCTT00005032694;				IPR001054;IPR018297;IPR032628;IPR030672;IPR009398;IPR029787;	
A0A2Y9ES03	A0A2Y9ES03_PHYMC	SRF	serum response factor isoform X1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	535	unreviewed	5.0		102975241;	XP_007107625.1;	pcad:102975241;		ENSPCTT00005009008;				IPR033897;IPR002100;IPR036879;	
A0A2Y9ES75	A0A2Y9ES75_PHYMC	PSEN1	Presenilin, EC 3.4.23.-	Physeter macrocephalus (Sperm whale) (Physeter catodon)	464	unreviewed	5.0	FUNCTION: Probable subunit of the gamma-secretase complex, an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors. {ECO:0000256|RuleBase:RU361148}.	102996079;	XP_007107266.1;			ENSPCTT00005025839;				IPR002031;IPR001108;IPR006639;IPR042524;	
A0A2Y9ESP2	A0A2Y9ESP2_PHYMC	CLN3	Battenin	Physeter macrocephalus (Sperm whale) (Physeter catodon)	438	unreviewed	5.0		102982591;	XP_007107394.1;	pcad:102982591;		ENSPCTT00005030403;				IPR003492;IPR018460;IPR036259;	
A0A2Y9EVN9	A0A2Y9EVN9_PHYMC	HIF1A	Hypoxia-inducible factor 1-alpha	Physeter macrocephalus (Sperm whale) (Physeter catodon)	822	unreviewed	5.0			XP_007109955.2;	pcad:102978574;		ENSPCTT00005012126;				IPR011598;IPR001321;IPR014887;IPR021537;IPR036638;IPR001610;IPR000014;IPR035965;IPR013767;IPR013655;	
A0A2Y9EWX4	A0A2Y9EWX4_PHYMC	DRD2	D(2) dopamine receptor (Dopamine D2 receptor)	Physeter macrocephalus (Sperm whale) (Physeter catodon)	443	unreviewed	5.0		102984954;	XP_007109570.1;	pcad:102984954;		ENSPCTT00005032342;				IPR001922;IPR000929;IPR000276;IPR017452;	
A0A2Y9EY25	A0A2Y9EY25_PHYMC	APP	Amyloid-beta A4 protein	Physeter macrocephalus (Sperm whale) (Physeter catodon)	770	unreviewed	5.0	FUNCTION: Functions as a cell surface receptor and performs physiological functions on the surface of neurons relevant to neurite growth, neuronal adhesion and axonogenesis. {ECO:0000256|RuleBase:RU367156}.; FUNCTION: N-APP binds TNFRSF21 triggering caspase activation and degeneration of both neuronal cell bodies (via caspase-3) and axons (via caspase-6). {ECO:0000256|ARBA:ARBA00003551}.; FUNCTION: The gamma-CTF peptides as well as the caspase-cleaved peptides, including C31, are potent enhancers of neuronal apoptosis. {ECO:0000256|ARBA:ARBA00002651}.	102995649;	XP_007110994.1;	pcad:102995649;		ENSPCTT00005001713;				IPR036669;IPR008155;IPR013803;IPR037071;IPR011178;IPR024329;IPR008154;IPR015849;IPR036454;IPR019745;IPR028866;IPR019543;IPR019744;IPR036176;IPR002223;IPR036880;IPR011993;IPR020901;	
A0A2Y9FAY0	A0A2Y9FAY0_PHYMC	SLC1A1	Amino acid transporter	Physeter macrocephalus (Sperm whale) (Physeter catodon)	524	unreviewed	5.0		102996882;	XP_007118575.1;	pcad:102996882;		ENSPCTT00005008518;				IPR001991;IPR018107;IPR036458;	
A0A2Y9FLM5	A0A2Y9FLM5_PHYMC	PAFAH1B1 LIS1	Platelet-activating factor acetylhydrolase IB subunit alpha (Lissencephaly-1 protein, LIS-1) (PAF acetylhydrolase 45 kDa subunit, PAF-AH 45 kDa subunit) (PAF-AH alpha, PAFAH alpha)	Physeter macrocephalus (Sperm whale) (Physeter catodon)	410	unreviewed	5.0	FUNCTION: Positively regulates the activity of the minus-end directed microtubule motor protein dynein. May enhance dynein-mediated microtubule sliding by targeting dynein to the microtubule plus end. Required for several dynein- and microtubule-dependent processes such as the maintenance of Golgi integrity, the peripheral transport of microtubule fragments and the coupling of the nucleus and centrosome. Required during brain development for the proliferation of neuronal precursors and the migration of newly formed neurons from the ventricular/subventricular zone toward the cortical plate. Neuronal migration involves a process called nucleokinesis, whereby migrating cells extend an anterior process into which the nucleus subsequently translocates. During nucleokinesis dynein at the nuclear surface may translocate the nucleus towards the centrosome by exerting force on centrosomal microtubules. Also required for proper activation of Rho GTPases and actin polymerization at the leading edge of locomoting cerebellar neurons and postmigratory hippocampal neurons in response to calcium influx triggered via NMDA receptors. May also play a role in other forms of cell locomotion including the migration of fibroblasts during wound healing. Non-catalytic subunit of an acetylhydrolase complex which inactivates platelet-activating factor (PAF) by removing the acetyl group at the SN-2 position. {ECO:0000256|HAMAP-Rule:MF_03141}.	102981729;	XP_007125522.1;XP_007125523.1;	pcad:102981729;		ENSPCTT00005009196;				IPR017252;IPR020472;IPR037190;IPR006594;IPR015943;IPR001680;IPR019775;IPR036322;	
