Gene,Model,lnL,LRT,np,df,p-value
RYR2,Amodel-H1a,-34383.340029,10.638711999999941,177,1,0.001107447750871078
RYR2,Amodel-null-H1a,-34388.659385,N/A,176,N/A,N/A
MYO7A,Amodel-H1a,-8035.729408,0.0003679999990708893,133,1,0.9846948590257381
MYO7A,Amodel-null-H1a,-8035.729592,N/A,132,N/A,N/A
MYH2,Amodel-H1a,-4394.846011,2.095876000001226,155,1,0.1476970360690431
MYH2,Amodel-null-H1a,-4395.893949,N/A,154,N/A,N/A
PCDH15,Amodel-H1a,-10169.576865,-0.0002120000026479829,173,1,1.0
PCDH15,Amodel-null-H1a,-10169.576759,N/A,172,N/A,N/A
OTOF,Amodel-H1a,-11951.205187,-8.999999772640876e-05,159,1,1.0
OTOF,Amodel-null-H1a,-11951.205142,N/A,158,N/A,N/A
CASQ1,Amodel-H1a,-2761.956317,0.0,173,1,1.0
CASQ1,Amodel-null-H1a,-2761.956317,N/A,172,N/A,N/A
HSP90AA1,Amodel-H1a,-5578.967906,-4.199999966658652e-05,141,1,1.0
HSP90AA1,Amodel-null-H1a,-5578.967885,N/A,140,N/A,N/A
FOXP2,Amodel-H1a,-2444.376696,6.800000028306386e-05,175,1,0.993420549911012
FOXP2,Amodel-null-H1a,-2444.37673,N/A,174,N/A,N/A
HTT,Amodel-H1a,-23409.222791,36.449015999998664,171,1,1.567122242480263e-09
HTT,Amodel-null-H1a,-23427.447299,N/A,170,N/A,N/A
CNTNAP2,Amodel-H1a,-11009.106079,-0.02457999999751337,171,1,1.0
CNTNAP2,Amodel-null-H1a,-11009.093789,N/A,170,N/A,N/A
CASQ2,Amodel-H1a,-3073.587206,1.5937379999995755,171,1,0.2067928898453249
CASQ2,Amodel-null-H1a,-3074.384075,N/A,170,N/A,N/A
MYL1,Amodel-H1a,-1910.359799,0.0,165,1,1.0
MYL1,Amodel-null-H1a,-1910.359799,N/A,164,N/A,N/A
