Gene,Model,lnL,LRT,np,df,p-value
HTT,2model-H1a,-23601.285167,0.23421000000234926,169,1,0.6284195963599688
HTT,M0,-23601.402272,N/A,168,N/A,N/A
CASQ2,2model-H1a,-3094.833302,6.334053999999924,169,1,0.011844127307583122
CASQ2,M0,-3098.000329,N/A,168,N/A,N/A
MYL1,2model-H1a,-1937.630101,7.289283999999952,163,1,0.006936711646206062
MYL1,M0,-1941.274743,N/A,162,N/A,N/A
PCDH15,2model-H1a,-10278.949254,0.0920380000025034,171,1,0.7616020744252893
PCDH15,M0,-10278.995273,N/A,170,N/A,N/A
FOXP2,2model-H1a,-2444.920133,2.054301999999552,173,1,0.15177679465932997
FOXP2,M0,-2445.947284,N/A,172,N/A,N/A
RYR2,2model-H1a,-34534.812296,2.191028000001097,175,1,0.13881663976663183
RYR2,M0,-34535.90781,N/A,174,N/A,N/A
MYH2,2model-H1a,-4493.027565,1.0968940000002476,153,1,0.2949487533073233
MYH2,M0,-4493.576012,N/A,152,N/A,N/A
CASQ1,2model-H1a,-2783.193343,5.1718220000002475,171,1,0.02295612652429549
CASQ1,M0,-2785.779254,N/A,170,N/A,N/A
CNTNAP2,2model-H1a,-11071.429242,0.019815999999991618,169,1,0.8880521848482058
CNTNAP2,M0,-11071.43915,N/A,168,N/A,N/A
OTOF,2model-H1a,-12059.173918,0.0831579999976384,157,1,0.773062543164372
OTOF,M0,-12059.215497,N/A,156,N/A,N/A
HSP90AA1,2model-H1a,-5613.026205,0.28694200000063574,139,1,0.5921868658913545
HSP90AA1,M0,-5613.169676,N/A,138,N/A,N/A
MYO7A,2model-H1a,-8083.661563,0.33568800000102783,131,1,0.5623288282319535
MYO7A,M0,-8083.829407,N/A,130,N/A,N/A
