Gene,Model,lnL,LRT,np,df,p-value
MYH2,Amodel-H3,-4395.893028,0.9250099999990198,155,1,0.33616293922615115
MYH2,Amodel-null-H3,-4396.355533,N/A,154,N/A,N/A
FOXP2,Amodel-H3,-2444.376695,1.99999976757681e-06,175,1,0.998871621274596
FOXP2,Amodel-null-H3,-2444.376696,N/A,174,N/A,N/A
RYR2,Amodel-H3,-34382.562983,9.738065999990795,177,1,0.001804907011975236
RYR2,Amodel-null-H3,-34387.432016,N/A,176,N/A,N/A
HSP90AA1,Amodel-H3,-5578.907534,-2.3999999029911123e-05,141,1,1.0
HSP90AA1,Amodel-null-H3,-5578.907522,N/A,140,N/A,N/A
HTT,Amodel-H3,-23427.449365,-0.0022380000009434298,171,1,1.0
HTT,Amodel-null-H3,-23427.448246,N/A,170,N/A,N/A
CASQ2,Amodel-H3,-3072.503864,2.534330000000409,171,1,0.11139416126534593
CASQ2,Amodel-null-H3,-3073.771029,N/A,170,N/A,N/A
OTOF,Amodel-H3,-11932.69318,23.226643999998487,159,1,1.4398853419189006e-06
OTOF,Amodel-null-H3,-11944.306502,N/A,158,N/A,N/A
CNTNAP2,Amodel-H3,-11008.936221,0.17636599999968894,171,1,0.6745150242560862
CNTNAP2,Amodel-null-H3,-11009.024404,N/A,170,N/A,N/A
MYO7A,Amodel-H3,-8022.018128,24.769334000000526,133,1,6.461737085594347e-07
MYO7A,Amodel-null-H3,-8034.402795,N/A,132,N/A,N/A
PCDH15,Amodel-H3,-10163.871105,11.410024000000703,173,1,0.0007304888780527485
PCDH15,Amodel-null-H3,-10169.576117,N/A,172,N/A,N/A
CASQ1,Amodel-H3,-2761.956316,2.0000006770715117e-06,173,1,0.9988716210180326
CASQ1,Amodel-null-H3,-2761.956317,N/A,172,N/A,N/A
MYL1,Amodel-H3,-1910.359799,0.0,165,1,1.0
MYL1,Amodel-null-H3,-1910.359799,N/A,164,N/A,N/A
