Gene,Model,lnL,LRT,np,df,p-value
NRXN1,Bmodel-H1a,-8054.854859,2.0000006770715117e-06,38,2,0.9999990000001615
NRXN1,Bmodel-null-H1a,-8054.85486,N/A,36,N/A,N/A
HSP90AA1,Bmodel-H1a,-4731.954614,0.10195799999928568,64,2,0.9502986265943855
HSP90AA1,Bmodel-null-H1a,-4732.005593,N/A,62,N/A,N/A
CASQ1,Bmodel-H1a,-2407.697739,54.860625999999684,64,2,1.2222679592037542e-12
CASQ1,Bmodel-null-H1a,-2435.128052,N/A,62,N/A,N/A
MYH2,Bmodel-H1a,-5026.841516,2.9350719999983994,58,2,0.2304927201288693
MYH2,Bmodel-null-H1a,-5028.309052,N/A,56,N/A,N/A
NLGN3,Bmodel-H1a,-4064.717422,0.35648399999990943,42,2,0.8367399079276929
NLGN3,Bmodel-null-H1a,-4064.895664,N/A,40,N/A,N/A
RYR2,Bmodel-H1a,-27179.961886,3.6904619999986608,64,2,0.15798882125649802
RYR2,Bmodel-null-H1a,-27181.807117,N/A,62,N/A,N/A
HTT,Bmodel-H1a,-18185.493216,0.003232000002753921,64,2,0.9983853050235572
HTT,Bmodel-null-H1a,-18185.494832,N/A,62,N/A,N/A
MYO7A,Bmodel-H1a,-7281.986208,2.694445999999516,64,2,0.25996117137102087
MYO7A,Bmodel-null-H1a,-7283.333431,N/A,62,N/A,N/A
CNTNAP2,Bmodel-H1a,-8744.066841,3.3577260000020033,64,2,0.18658600376490003
CNTNAP2,Bmodel-null-H1a,-8745.745704,N/A,62,N/A,N/A
OTOF,Bmodel-H1a,-10526.288715,9.237317999999505,64,2,0.009866017523717054
OTOF,Bmodel-null-H1a,-10530.907374,N/A,62,N/A,N/A
PCDH15,Bmodel-H1a,-8618.181032,1.412583999997878,64,2,0.49347059820000494
PCDH15,Bmodel-null-H1a,-8618.887324,N/A,62,N/A,N/A
CASQ2,Bmodel-H1a,-2369.706711,3.35883400000057,64,2,0.1864826637467761
CASQ2,Bmodel-null-H1a,-2371.386128,N/A,62,N/A,N/A
CALML6,Bmodel-H1a,-1772.699795,14.067015999999967,40,2,0.0008818328785616069
CALML6,Bmodel-null-H1a,-1779.733303,N/A,38,N/A,N/A
ACTC1,Bmodel-H1a,-1912.140147,5.999999757477781e-06,42,2,0.9999970000046212
ACTC1,Bmodel-null-H1a,-1912.14015,N/A,40,N/A,N/A
FOXP2,Bmodel-H1a,-2278.290631,1.2536800000007133,64,2,0.5342774530253911
FOXP2,Bmodel-null-H1a,-2278.917471,N/A,62,N/A,N/A
MYL1,Bmodel-H1a,-1621.808391,0.19725199999993492,62,2,0.9060815191501101
MYL1,Bmodel-null-H1a,-1621.907017,N/A,60,N/A,N/A
