Gene,Model,lnL,LRT,np,df,p-value
CASQ1,Amodel-H1b,-2761.608736,0.0017399999996996485,173,1,0.9667272455631261
CASQ1,Amodel-null-H1b,-2761.609606,N/A,172,N/A,N/A
MYL1,Amodel-H1b,-1910.359799,0.0,165,1,1.0
MYL1,Amodel-null-H1b,-1910.359799,N/A,164,N/A,N/A
MYO7A,Amodel-H1b,-8023.44997,16.326344000000972,133,1,5.331756144114548e-05
MYO7A,Amodel-null-H1b,-8031.613142,N/A,132,N/A,N/A
HTT,Amodel-H1b,-23427.447767,0.00228199999401113,171,1,0.9618993197700044
HTT,Amodel-null-H1b,-23427.448908,N/A,170,N/A,N/A
PCDH15,Amodel-H1b,-10169.576181,0.000963999998930376,173,1,0.9752309810146735
PCDH15,Amodel-null-H1b,-10169.576663,N/A,172,N/A,N/A
CASQ2,Amodel-H1b,-3076.770177,4.000000444648322e-06,171,1,0.9984042318535454
CASQ2,Amodel-null-H1b,-3076.770179,N/A,170,N/A,N/A
OTOF,Amodel-H1b,-11949.411416,-4.400000034365803e-05,159,1,1.0
OTOF,Amodel-null-H1b,-11949.411394,N/A,158,N/A,N/A
FOXP2,Amodel-H1b,-2443.573167,1.60703199999989,175,1,0.20490951375757507
FOXP2,Amodel-null-H1b,-2444.376683,N/A,174,N/A,N/A
MYH2,Amodel-H1b,-4396.355914,-0.9253900000003341,155,1,1.0
MYH2,Amodel-null-H1b,-4395.893219,N/A,154,N/A,N/A
HSP90AA1,Amodel-H1b,-5577.668837,3.9999998989515007e-05,141,1,0.9949537686612632
HSP90AA1,Amodel-null-H1b,-5577.668857,N/A,140,N/A,N/A
CNTNAP2,Amodel-H1b,-11009.093339,-5.999998393235728e-06,171,1,1.0
CNTNAP2,Amodel-null-H1b,-11009.093336,N/A,170,N/A,N/A
RYR2,Amodel-H1b,-34388.742155,0.010536000001593493,177,1,0.9182447112279721
RYR2,Amodel-null-H1b,-34388.747423,N/A,176,N/A,N/A
