Gene,Model,lnL,LRT,np,df,p-value
RYR2,Amodel-H1a,-27181.845048,0.001069999998435378,63,1,0.9739051679300654
RYR2,Amodel-null-H1a,-27181.845583,N/A,62,N/A,N/A
CALML6,Amodel-H1a,-1772.779944,12.65404000000035,39,1,0.00037475497713988066
CALML6,Amodel-null-H1a,-1779.106964,N/A,38,N/A,N/A
MYO7A,Amodel-H1a,-7284.041934,0.0,63,1,1.0
MYO7A,Amodel-null-H1a,-7284.041934,N/A,62,N/A,N/A
MYH2,Amodel-H1a,-5052.912485,3.99999953515362e-06,57,1,0.998404232034963
MYH2,Amodel-null-H1a,-5052.912487,N/A,56,N/A,N/A
PCDH15,Amodel-H1a,-8613.73517,40.141827999999805,63,1,2.3617741502742695e-10
PCDH15,Amodel-null-H1a,-8633.806084,N/A,62,N/A,N/A
OTOF,Amodel-H1a,-10537.335831,-0.0012920000008307397,63,1,1.0
OTOF,Amodel-null-H1a,-10537.335185,N/A,62,N/A,N/A
NRXN1,Amodel-H1a,-8167.746765,0.0,37,1,1.0
NRXN1,Amodel-null-H1a,-8167.746765,N/A,36,N/A,N/A
CASQ1,Amodel-H1a,-2410.256854,57.93094399999973,63,1,2.7148276177715463e-14
CASQ1,Amodel-null-H1a,-2439.222326,N/A,62,N/A,N/A
NLGN3,Amodel-H1a,-4064.89566,7.999999979801942e-06,41,1,0.9977432446776654
NLGN3,Amodel-null-H1a,-4064.895664,N/A,40,N/A,N/A
HSP90AA1,Amodel-H1a,-4738.577519,0.0,63,1,1.0
HSP90AA1,Amodel-null-H1a,-4738.577519,N/A,62,N/A,N/A
FOXP2,Amodel-H1a,-2278.290749,0.35737200000039593,63,1,0.5499693943296677
FOXP2,Amodel-null-H1a,-2278.469435,N/A,62,N/A,N/A
HTT,Amodel-H1a,-18185.505656,0.008539999995264225,63,1,0.9263706099566796
HTT,Amodel-null-H1a,-18185.509926,N/A,62,N/A,N/A
CNTNAP2,Amodel-H1a,-8745.742219,-2.0000006770715117e-06,63,1,1.0
CNTNAP2,Amodel-null-H1a,-8745.742218,N/A,62,N/A,N/A
CASQ2,Amodel-H1a,-2372.512501,0.0,63,1,1.0
CASQ2,Amodel-null-H1a,-2372.512501,N/A,62,N/A,N/A
MYL1,Amodel-H1a,-1623.933747,-3.999999989900971e-06,61,1,1.0
MYL1,Amodel-null-H1a,-1623.933745,N/A,60,N/A,N/A
ACTC1,Amodel-H1a,-1912.398376,1.99999976757681e-06,41,1,0.998871621274596
ACTC1,Amodel-null-H1a,-1912.398377,N/A,40,N/A,N/A
