Gene,Model,lnL,LRT,np,df,p-value
CASQ1,Amodel-H1d,-2761.895127,2.4000000848900527e-05,173,1,0.9960911954708724
CASQ1,Amodel-null-H1d,-2761.895139,N/A,172,N/A,N/A
CNTNAP2,Amodel-H1d,-11009.107444,-1.9999999494757503e-05,171,1,1.0
CNTNAP2,Amodel-null-H1d,-11009.107434,N/A,170,N/A,N/A
MYL1,Amodel-H1d,-1907.444294,0.2233040000000983,165,1,0.6365338860517349
MYL1,Amodel-null-H1d,-1907.555946,N/A,164,N/A,N/A
MYO7A,Amodel-H1d,-8035.673901,-0.18309399999998277,133,1,1.0
MYO7A,Amodel-null-H1d,-8035.582354,N/A,132,N/A,N/A
MYH2,Amodel-H1d,-4355.834559,17.085660000000644,155,1,3.573108210185792e-05
MYH2,Amodel-null-H1d,-4364.377389,N/A,154,N/A,N/A
HTT,Amodel-H1d,-23427.448595,-0.0009860000063781627,171,1,1.0
HTT,Amodel-null-H1d,-23427.448102,N/A,170,N/A,N/A
RYR2,Amodel-H1d,-34388.753694,-0.018413999991025776,177,1,1.0
RYR2,Amodel-null-H1d,-34388.744487,N/A,176,N/A,N/A
HSP90AA1,Amodel-H1d,-5578.967741,0.00024200000007112976,141,1,0.9875883297661772
HSP90AA1,Amodel-null-H1d,-5578.967862,N/A,140,N/A,N/A
CASQ2,Amodel-H1d,-3076.770179,0.0,171,1,1.0
CASQ2,Amodel-null-H1d,-3076.770179,N/A,170,N/A,N/A
PCDH15,Amodel-H1d,-10169.576074,0.0008720000005268957,173,1,0.9764421750543635
PCDH15,Amodel-null-H1d,-10169.57651,N/A,172,N/A,N/A
OTOF,Amodel-H1d,-11951.205173,-1.799999881768599e-05,159,1,1.0
OTOF,Amodel-null-H1d,-11951.205164,N/A,158,N/A,N/A
FOXP2,Amodel-H1d,-2444.376696,0.0,175,1,1.0
FOXP2,Amodel-null-H1d,-2444.376696,N/A,174,N/A,N/A
