Gene,Model,lnL,LRT,np,df,p-value
CASQ2,Bmodel-H2,-3072.075357,2.5407979999999952,172,2,0.2807195923126556
CASQ2,Bmodel-null-H2,-3073.345756,N/A,170,N/A,N/A
PCDH15,Bmodel-H2,-10161.326929,2.55777599999783,174,2,0.2783466498980143
PCDH15,Bmodel-null-H2,-10162.605817,N/A,172,N/A,N/A
CNTNAP2,Bmodel-H2,-11008.754826,0.5804060000009486,172,2,0.7481116854905454
CNTNAP2,Bmodel-null-H2,-11009.045029,N/A,170,N/A,N/A
MYL1,Bmodel-H2,-1905.999301,0.0,166,2,1.0
MYL1,Bmodel-null-H2,-1905.999301,N/A,164,N/A,N/A
HTT,Bmodel-H2,-23424.949019,2.2178120000025956,172,2,0.32991969586412856
HTT,Bmodel-null-H2,-23426.057925,N/A,170,N/A,N/A
FOXP2,Bmodel-H2,-2444.175362,0.3367680000001201,176,2,0.8450292811303597
FOXP2,Bmodel-null-H2,-2444.343746,N/A,174,N/A,N/A
OTOF,Bmodel-H2,-11949.044733,2.5264459999998508,160,2,0.28274128125146275
OTOF,Bmodel-null-H2,-11950.307956,N/A,158,N/A,N/A
HSP90AA1,Bmodel-H2,-5577.531966,0.9827740000000631,142,2,0.6117772703791484
HSP90AA1,Bmodel-null-H2,-5578.023353,N/A,140,N/A,N/A
CASQ1,Bmodel-H2,-2756.629928,3.660163999999895,174,2,0.16040041440191927
CASQ1,Bmodel-null-H2,-2758.46001,N/A,172,N/A,N/A
MYO7A,Bmodel-H2,-8031.652199,8.117270000000644,134,2,0.01727258010314905
MYO7A,Bmodel-null-H2,-8035.710834,N/A,132,N/A,N/A
RYR2,Bmodel-H2,-34384.93773,5.164021999997203,178,2,0.07562177561782513
RYR2,Bmodel-null-H2,-34387.519741,N/A,176,N/A,N/A
MYH2,Bmodel-H2,-4393.798612,1.175042000000758,156,2,0.5557031667743251
MYH2,Bmodel-null-H2,-4394.386133,N/A,154,N/A,N/A
