Entry	Entry Name	Gene Names	Protein names	Organism	Length	Reviewed	Annotation	Function [CC]	GeneID	RefSeq	KEGG	EMBL	Ensembl	EnsemblMetazoa	OrthoDB	PIR	InterPro	CCDS
A0A2Y9EIT4	A0A2Y9EIT4_PHYMC	BMP4	bone morphogenetic protein 4	Physeter macrocephalus (Sperm whale) (Physeter catodon)	408	unreviewed	5.0		102981535;	XP_007102536.1;XP_007102537.1;XP_007102537.1;XP_007102538.1;	pcad:102981535;		ENSPCTT00005035076;				IPR029034;IPR001839;IPR001111;IPR015615;IPR017948;	
A0A2Y9F7B8	A0A2Y9F7B8_PHYMC	FGF2	Fibroblast growth factor, FGF	Physeter macrocephalus (Sperm whale) (Physeter catodon)	155	unreviewed	5.0		102989017;	XP_007116207.1;	pcad:102989017;		ENSPCTT00005015733;				IPR028223;IPR002209;IPR008996;	
A0A2Y9FLM5	A0A2Y9FLM5_PHYMC	PAFAH1B1 LIS1	Platelet-activating factor acetylhydrolase IB subunit alpha (Lissencephaly-1 protein, LIS-1) (PAF acetylhydrolase 45 kDa subunit, PAF-AH 45 kDa subunit) (PAF-AH alpha, PAFAH alpha)	Physeter macrocephalus (Sperm whale) (Physeter catodon)	410	unreviewed	5.0	FUNCTION: Positively regulates the activity of the minus-end directed microtubule motor protein dynein. May enhance dynein-mediated microtubule sliding by targeting dynein to the microtubule plus end. Required for several dynein- and microtubule-dependent processes such as the maintenance of Golgi integrity, the peripheral transport of microtubule fragments and the coupling of the nucleus and centrosome. Required during brain development for the proliferation of neuronal precursors and the migration of newly formed neurons from the ventricular/subventricular zone toward the cortical plate. Neuronal migration involves a process called nucleokinesis, whereby migrating cells extend an anterior process into which the nucleus subsequently translocates. During nucleokinesis dynein at the nuclear surface may translocate the nucleus towards the centrosome by exerting force on centrosomal microtubules. Also required for proper activation of Rho GTPases and actin polymerization at the leading edge of locomoting cerebellar neurons and postmigratory hippocampal neurons in response to calcium influx triggered via NMDA receptors. May also play a role in other forms of cell locomotion including the migration of fibroblasts during wound healing. Non-catalytic subunit of an acetylhydrolase complex which inactivates platelet-activating factor (PAF) by removing the acetyl group at the SN-2 position. {ECO:0000256|HAMAP-Rule:MF_03141}.	102981729;	XP_007125522.1;XP_007125523.1;	pcad:102981729;		ENSPCTT00005009196;				IPR017252;IPR020472;IPR037190;IPR006594;IPR015943;IPR001680;IPR019775;IPR036322;	
A0A2Y9MDP4	A0A2Y9MDP4_DELLE	DLL1	Delta-like protein	Delphinapterus leucas (Beluga whale)	722	unreviewed	5.0	FUNCTION: Putative Notch ligand involved in the mediation of Notch signaling. {ECO:0000256|RuleBase:RU280815}.		XP_022417182.1;			ENSDLET00000015064;				IPR001774;IPR001881;IPR013032;IPR000742;IPR000152;IPR018097;IPR009030;IPR011651;	
A0A2Y9MPB1	A0A2Y9MPB1_DELLE	SOD1	Superoxide dismutase [Cu-Zn], EC 1.15.1.1	Delphinapterus leucas (Beluga whale)	153	unreviewed	5.0	FUNCTION: Destroys radicals which are normally produced within the cells and which are toxic to biological systems. {ECO:0000256|RuleBase:RU000393}.		XP_022424139.1;	dle:111172168;		ENSDLET00000032495;				IPR036423;IPR024134;IPR018152;IPR001424;	
A0A2Y9MV04	A0A2Y9MV04_DELLE	BMP4	bone morphogenetic protein 4	Delphinapterus leucas (Beluga whale)	408	unreviewed	5.0			XP_022426244.1;	dle:111173145;		ENSDLET00000010980;				IPR029034;IPR001839;IPR001111;IPR015615;IPR017948;	
A0A2Y9N129	A0A2Y9N129_DELLE	HES1	transcription factor HES-1	Delphinapterus leucas (Beluga whale)	280	unreviewed	5.0			XP_022425092.1;	dle:111172508;		ENSDLET00000019633;				IPR011598;IPR036638;IPR003650;	
A0A2Y9NWE7	A0A2Y9NWE7_DELLE	NOTCH1	Neurogenic locus notch homolog protein 1	Delphinapterus leucas (Beluga whale)	2521	unreviewed	5.0			XP_022433868.1;	dle:111177023;		ENSDLET00000024593;				IPR002110;IPR036770;IPR001881;IPR013032;IPR000742;IPR000152;IPR018097;IPR009030;IPR008297;IPR035993;IPR022362;IPR024600;IPR000800;IPR010660;IPR011656;	
A0A2Y9Q314	A0A2Y9Q314_DELLE	PAFAH1B1 LIS1	Platelet-activating factor acetylhydrolase IB subunit alpha (Lissencephaly-1 protein, LIS-1) (PAF acetylhydrolase 45 kDa subunit, PAF-AH 45 kDa subunit) (PAF-AH alpha, PAFAH alpha)	Delphinapterus leucas (Beluga whale)	410	unreviewed	5.0	FUNCTION: Positively regulates the activity of the minus-end directed microtubule motor protein dynein. May enhance dynein-mediated microtubule sliding by targeting dynein to the microtubule plus end. Required for several dynein- and microtubule-dependent processes such as the maintenance of Golgi integrity, the peripheral transport of microtubule fragments and the coupling of the nucleus and centrosome. Required during brain development for the proliferation of neuronal precursors and the migration of newly formed neurons from the ventricular/subventricular zone toward the cortical plate. Neuronal migration involves a process called nucleokinesis, whereby migrating cells extend an anterior process into which the nucleus subsequently translocates. During nucleokinesis dynein at the nuclear surface may translocate the nucleus towards the centrosome by exerting force on centrosomal microtubules. Also required for proper activation of Rho GTPases and actin polymerization at the leading edge of locomoting cerebellar neurons and postmigratory hippocampal neurons in response to calcium influx triggered via NMDA receptors. May also play a role in other forms of cell locomotion including the migration of fibroblasts during wound healing. Non-catalytic subunit of an acetylhydrolase complex which inactivates platelet-activating factor (PAF) by removing the acetyl group at the SN-2 position. {ECO:0000256|HAMAP-Rule:MF_03141}.		XP_022451885.1;XP_022451886.1;	dle:111186003;		ENSDLET00000019350;				IPR017252;IPR020472;IPR037190;IPR006594;IPR015943;IPR001680;IPR019775;IPR036322;	
A0A2Y9SHR6	A0A2Y9SHR6_PHYMC	SOD1	Superoxide dismutase [Cu-Zn], EC 1.15.1.1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	153	unreviewed	5.0	FUNCTION: Destroys radicals which are normally produced within the cells and which are toxic to biological systems. {ECO:0000256|RuleBase:RU000393}.		XP_023975865.1;	pcad:102973578;		ENSPCTT00005004056;				IPR036423;IPR024134;IPR018152;IPR001424;	
A0A2Y9SNZ9	A0A2Y9SNZ9_PHYMC	JAG1	Delta-like protein	Physeter macrocephalus (Sperm whale) (Physeter catodon)	1218	unreviewed	5.0	FUNCTION: Putative Notch ligand involved in the mediation of Notch signaling. {ECO:0000256|RuleBase:RU280815}.		XP_023979157.1;	pcad:102974158;		ENSPCTT00005010654;				IPR001774;IPR001881;IPR013032;IPR000742;IPR000152;IPR018097;IPR009030;IPR033108;IPR026219;IPR011651;IPR001007;	
A0A2Y9SQR6	A0A2Y9SQR6_PHYMC	HES5	transcription factor HES-5	Physeter macrocephalus (Sperm whale) (Physeter catodon)	168	unreviewed	5.0			XP_023981016.1;	pcad:112065284;		ENSPCTT00005002286;				IPR011598;IPR036638;IPR003650;	
A0A2Y9SVH2	A0A2Y9SVH2_PHYMC	NOTCH1	Neurogenic locus notch homolog protein 1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	2531	unreviewed	5.0			XP_023982178.1;	pcad:102982122;		ENSPCTT00005014577;				IPR002110;IPR036770;IPR001881;IPR013032;IPR000742;IPR000152;IPR018097;IPR009030;IPR008297;IPR035993;IPR022362;IPR024600;IPR000800;IPR010660;IPR011656;	
A0A4U1FSU5	A0A4U1FSU5_MONMO	SLC9A3R1 EI555_014876	Na(+)/H(+) exchange regulatory cofactor NHE-RF	Monodon monoceros (Narwhal) (Ceratodon monodon)	366	unreviewed	5.0	FUNCTION: Scaffold protein that connects plasma membrane proteins with members of the ezrin/moesin/radixin family and thereby helps to link them to the actin cytoskeleton and to regulate their surface expression. {ECO:0000256|PIRNR:PIRNR037866}.				RWIC01000005;	ENSMMNT00015032827.1;				IPR015098;IPR031199;IPR017300;IPR001478;IPR036034;	
A0A2Y9MP97	A0A2Y9MP97_DELLE	FZD2	Frizzled-2	Delphinapterus leucas (Beluga whale)	565	unreviewed	4.0			XP_022420877.1;	dle:111170218;		ENSDLET00000010925;				IPR015526;IPR000539;IPR020067;IPR036790;IPR041778;IPR026550;IPR017981;	
A0A2Y9NBN6	A0A2Y9NBN6_DELLE	JAG2	Delta-like protein	Delphinapterus leucas (Beluga whale)	1233	unreviewed	4.0	FUNCTION: Putative Notch ligand involved in the mediation of Notch signaling. {ECO:0000256|RuleBase:RU280815}.		XP_022431630.1;	dle:111175998;		ENSDLET00000023643;				IPR001774;IPR001881;IPR013032;IPR000742;IPR000152;IPR018097;IPR013111;IPR009030;IPR026219;IPR011651;IPR001007;	
A0A2Y9P4D5	A0A2Y9P4D5_DELLE	ATP8B1	Phospholipid-transporting ATPase, EC 7.6.2.1	Delphinapterus leucas (Beluga whale)	1251	unreviewed	4.0			XP_022440111.1;XP_030617886.1;	dle:111180232;		ENSDLET00000005880;				IPR030346;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006539;IPR032631;IPR001757;IPR032630;IPR044492;	
A0A2Y9TB03	A0A2Y9TB03_PHYMC	ATP8B1	Phospholipid-transporting ATPase, EC 7.6.2.1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	1251	unreviewed	4.0			XP_023988076.1;XP_028336363.1;	pcad:102995646;		ENSPCTT00005009624;				IPR030346;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006539;IPR032631;IPR001757;IPR032630;IPR044492;	
