Gene,Model,lnL,LRT,np,df,p-value
CALML6,2model-H3,-1788.13692,0.03996800000004441,37,1,0.841543160971788
CALML6,M0,-1788.156904,N/A,36,N/A,N/A
HSP90AA1,2model-H3,-4752.331295,0.40499000000090746,61,1,0.5245233998793084
HSP90AA1,M0,-4752.53379,N/A,60,N/A,N/A
MYO7A,2model-H3,-7310.599786,0.44732199999998556,61,1,0.5036094449726789
MYO7A,M0,-7310.823447,N/A,60,N/A,N/A
PCDH15,2model-H3,-8709.993275,0.17722599999979138,61,1,0.6737680908242195
PCDH15,M0,-8710.081888,N/A,60,N/A,N/A
MYL1,2model-H3,-1636.349489,7.065922000000228,59,1,0.007856387222621353
MYL1,M0,-1639.88245,N/A,58,N/A,N/A
NLGN3,2model-H3,-4064.524082,0.7431640000004336,39,1,0.38864921741291303
NLGN3,M0,-4064.895664,N/A,38,N/A,N/A
CASQ1,2model-H3,-2455.498719,1.655519999999342,61,1,0.1982092916502378
CASQ1,M0,-2456.326479,N/A,60,N/A,N/A
NRXN1,2model-H3,-8286.445699,1.1403780000000552,35,1,0.28557246839233247
NRXN1,M0,-8287.015888,N/A,34,N/A,N/A
HTT,2model-H3,-18247.969353,0.3698819999990519,61,1,0.5430685952688491
HTT,M0,-18248.154294,N/A,60,N/A,N/A
RYR2,2model-H3,-27234.47081,7.059588000003714,61,1,0.007884212758440345
RYR2,M0,-27238.000604,N/A,60,N/A,N/A
MYH2,2model-H3,-5188.021694,1.3752999999996973,55,1,0.24090335347428737
MYH2,M0,-5188.709344,N/A,54,N/A,N/A
FOXP2,2model-H3,-2278.170558,1.4938260000008086,61,1,0.22162378194192148
FOXP2,M0,-2278.917471,N/A,60,N/A,N/A
OTOF,2model-H3,-10633.340511,5.185967999997956,61,1,0.02276998478731107
OTOF,M0,-10635.933495,N/A,60,N/A,N/A
ACTC1,2model-H3,-1915.888956,0.943025999999918,39,1,0.3315008450031758
ACTC1,M0,-1916.360469,N/A,38,N/A,N/A
CASQ2,2model-H3,-2380.078434,4.769752000000153,61,1,0.02896399767888614
CASQ2,M0,-2382.46331,N/A,60,N/A,N/A
CNTNAP2,2model-H3,-8787.160825,0.22584199999982957,61,1,0.6346242107646566
CNTNAP2,M0,-8787.273746,N/A,60,N/A,N/A
