Gene,Model,lnL,LRT,np,df,p-value
HSP90AA1,Bmodel-H1a,-5577.949841,0.14655600000151026,142,2,0.9293424369126505
HSP90AA1,Bmodel-null-H1a,-5578.023119,N/A,140,N/A,N/A
CASQ1,Bmodel-H1a,-2755.86725,5.185519999999997,174,2,0.07481327024832413
CASQ1,Bmodel-null-H1a,-2758.46001,N/A,172,N/A,N/A
MYH2,Bmodel-H1a,-4393.696433,2.2956279999998515,156,2,0.31732969444810577
MYH2,Bmodel-null-H1a,-4394.844247,N/A,154,N/A,N/A
RYR2,Bmodel-H1a,-34383.974414,7.090730000010808,178,2,0.028858087385090266
RYR2,Bmodel-null-H1a,-34387.519779,N/A,176,N/A,N/A
HTT,Bmodel-H1a,-23409.191509,33.728345999996236,172,2,4.7422312080633036e-08
HTT,Bmodel-null-H1a,-23426.055682,N/A,170,N/A,N/A
MYO7A,Bmodel-H1a,-8035.321684,0.7783040000012988,134,2,0.6776312622332786
MYO7A,Bmodel-null-H1a,-8035.710836,N/A,132,N/A,N/A
CNTNAP2,Bmodel-H1a,-11008.99384,0.1023380000006,172,2,0.950118087006512
CNTNAP2,Bmodel-null-H1a,-11009.045009,N/A,170,N/A,N/A
OTOF,Bmodel-H1a,-11950.246154,0.12358400000084657,160,2,0.9400784027640999
OTOF,Bmodel-null-H1a,-11950.307946,N/A,158,N/A,N/A
PCDH15,Bmodel-H1a,-10162.217992,0.7753340000017488,174,2,0.6786382921922263
PCDH15,Bmodel-null-H1a,-10162.605659,N/A,172,N/A,N/A
CASQ2,Bmodel-H1a,-3070.563747,5.564018000000033,172,2,0.061913997128459
CASQ2,Bmodel-null-H1a,-3073.345756,N/A,170,N/A,N/A
FOXP2,Bmodel-H1a,-2444.344291,-0.001089999999749125,176,2,1.0
FOXP2,Bmodel-null-H1a,-2444.343746,N/A,174,N/A,N/A
MYL1,Bmodel-H1a,-1901.754013,8.490576000000146,166,2,0.014331605582185365
MYL1,Bmodel-null-H1a,-1905.999301,N/A,164,N/A,N/A
